The model is (csv):
time,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v14,v16,v18,v20,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
0,2,3,4,0,4,1,3,3,4,4,1,4,2,4,4,0,4,1,2,1,4,0,4,4,4,4,3,0,3,2
1,3,2,3,1,3,2,2,4,4,3,0,3,3,3,3,1,3,2,3,2,3,1,4,3,4,3,2,0,4,3
2,3,1,3,2,2,2,1,3,3,2,1,2,4,2,2,2,2,3,3,2,2,2,4,2,3,3,2,1,4,3
3,2,2,3,2,2,2,2,2,2,2,1,2,3,1,1,1,2,3,2,1,2,3,3,2,2,2,2,1,3,2
4,2,2,2,1,1,2,2,1,2,3,2,2,3,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,2,2
5,2,2,2,1,2,1,2,1,1,3,2,2,3,2,2,2,1,2,1,2,2,2,2,1,3,1,2,2,2,2
6,2,2,2,2,2,1,2,2,1,2,3,2,2,2,2,2,1,1,2,2,1,2,1,1,3,1,1,2,1,3
7,2,2,2,2,2,1,2,2,1,2,3,3,2,3,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2
8,3,2,1,3,1,1,1,3,2,1,2,3,2,3,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2
9,3,2,2,3,1,2,1,3,2,1,2,3,2,3,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
10,3,2,2,3,1,2,1,3,2,1,3,3,3,3,3,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1
11,3,3,3,3,1,2,1,3,2,1,3,3,3,2,3,1,2,2,1,1,2,2,2,2,1,1,2,1,2,1
12,3,3,3,2,1,2,1,2,2,2,3,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
13,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1
14,2,3,3,2,2,1,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2
15,2,3,3,2,2,1,2,2,1,2,3,2,3,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2
16,2,3,2,2,2,1,2,2,1,2,2,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
17,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2
18,3,2,2,3,2,2,1,3,2,1,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
19,3,2,2,3,1,2,1,3,2,1,2,3,2,3,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1
20,3,2,2,3,1,2,1,3,2,1,2,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
21,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
22,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1,<---
23,2,3,3,2,2,1,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2
24,2,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
25,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
26,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
27,3,2,2,3,1,2,1,3,2,1,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
28,3,2,2,3,1,2,1,3,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
29,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
Time: 00:00:26.5030372
