The model is (csv):
time,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v14,v16,v18,v20,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
0,4,4,1,4,0,4,1,4,4,4,1,3,2,4,2,4,3,4,0,4,0,1,4,4,4,4,1,4,3,3
1,3,3,2,4,1,3,2,3,4,3,0,3,1,3,1,3,4,4,0,3,1,2,4,3,4,3,0,3,4,4
2,3,2,1,3,2,4,2,3,3,2,1,4,1,2,0,2,3,3,1,2,2,3,4,4,3,2,1,2,4,3
3,4,1,0,2,2,3,2,3,3,3,2,3,2,1,1,2,2,2,2,1,3,2,3,3,2,1,2,2,3,2
4,3,2,1,1,1,2,1,2,2,2,3,2,2,1,2,2,2,2,2,1,3,1,3,2,3,2,3,2,3,2
5,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,2
6,1,2,2,1,2,2,2,1,1,2,3,2,3,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1
7,2,3,2,2,2,1,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1
8,2,3,3,2,2,1,2,2,1,2,3,2,3,3,3,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2
9,2,3,3,3,2,1,1,2,1,1,2,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
10,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1
11,3,2,2,3,2,2,2,3,1,2,2,3,3,3,3,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1
12,3,2,3,3,1,2,1,3,2,1,2,3,3,3,3,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2
13,3,2,3,3,1,2,1,3,2,1,2,2,2,3,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1
14,2,2,2,3,2,2,2,2,1,2,3,2,3,3,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
15,2,3,3,3,2,2,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,1,2,2,1,2,1,1,1
16,2,3,3,2,2,1,2,2,2,2,3,2,3,3,3,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2
17,2,3,3,3,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2
18,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2
19,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2
20,3,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
21,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2
22,2,2,2,2,2,2,2,2,1,2,3,2,3,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2
23,2,3,2,2,2,1,2,2,1,2,3,2,3,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2
24,2,3,2,2,2,1,2,2,2,2,3,2,3,3,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2
25,2,3,2,3,2,1,1,2,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
26,3,2,2,3,2,2,1,3,2,1,2,3,2,3,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,1
27,3,2,2,3,2,2,1,3,1,1,2,3,3,2,3,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1
28,3,2,3,2,1,2,1,2,1,2,2,3,3,2,3,1,2,2,2,1,2,2,1,2,1,2,2,1,1,1
29,3,2,3,2,1,2,1,2,1,2,2,2,3,3,3,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1
30,2,2,3,3,2,1,2,2,1,2,3,2,3,3,3,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2
31,2,3,3,3,2,1,2,2,1,2,3,2,3,3,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2
32,2,3,2,3,2,1,2,2,2,2,3,3,3,3,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,<---
33,3,3,2,3,2,1,2,3,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
34,3,2,2,3,2,2,1,3,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2
35,3,2,2,3,2,2,1,3,2,1,2,3,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1
36,3,2,2,2,1,2,1,2,1,2,2,3,3,2,3,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1
37,3,2,3,2,1,2,1,2,1,2,2,2,3,2,3,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1
38,2,2,3,2,2,1,2,2,1,2,3,2,3,3,3,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2
39,2,3,3,3,2,1,2,2,1,2,3,2,3,3,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2
Time: 00:00:47.4984827
