The model is (csv):
time,v1,v2,v3,v4,v5
0,4,4,4,3,4
1,3,4,3,4,4
2,2,3,4,4,4
3,1,2,4,3,4
4,0,1,3,2,4
5,0,0,2,1,4
6,0,0,1,0,4
7,1,0,0,0,4
8,2,1,0,0,4
9,2,2,0,1,4
10,2,2,1,2,4
11,1,2,2,2,4
12,0,1,2,2,4
13,0,0,2,1,4
14,0,0,1,0,4
15,1,0,0,0,4
16,2,1,0,0,4,<---
17,2,2,0,1,4
18,2,2,1,2,4
19,1,2,2,2,4
20,0,1,2,2,4
21,0,0,2,1,4
22,0,0,1,0,4
23,1,0,0,0,4
24,2,1,0,0,4
25,2,2,0,1,4
26,2,2,1,2,4
27,1,2,2,2,4
28,0,1,2,2,4
29,0,0,2,1,4
30,0,0,1,0,4
31,1,0,0,0,4
32,2,1,0,0,4
33,2,2,0,1,4
34,2,2,1,2,4
35,1,2,2,2,4
36,0,1,2,2,4
37,0,0,2,1,4
38,0,0,1,0,4
39,1,0,0,0,4
Time: 00:00:00.9800013
