The model is (csv):
time,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v14,v16,v18,v20,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
0,1,0,0,4,4,4,1,4,4,4,4,3,3,2,2,0,0,0,4,3,4,2,3,1,4,3,3,0,0,3
1,2,1,1,3,3,3,2,4,3,3,3,2,4,3,1,1,1,1,4,3,4,1,4,2,4,4,4,0,1,4
2,2,2,2,3,3,2,2,4,2,2,2,1,4,3,0,2,2,2,3,4,3,2,3,3,3,3,3,1,2,3
3,1,3,3,3,4,2,3,3,2,2,1,1,3,2,1,2,3,3,3,4,2,3,2,4,2,3,2,2,2,2
4,1,2,4,2,4,3,3,2,3,3,1,2,2,2,2,3,4,4,4,4,2,4,2,4,2,3,2,2,2,2
5,2,2,4,2,4,4,4,3,3,4,1,2,2,2,2,3,4,4,4,4,3,4,3,4,3,4,2,3,2,2
6,2,2,4,2,4,4,4,4,3,4,0,2,1,2,2,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3
7,2,1,3,2,4,4,4,4,4,4,0,1,1,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4
8,1,0,2,1,4,4,4,3,4,4,0,0,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
9,0,0,1,1,4,4,4,2,4,4,0,0,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,0,0,0,1,4,4,4,1,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,<---
15,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Time: 00:00:16.0320225
