The model is (csv):
time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,v42,v43,v44,v45,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102
29,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
30,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,<---
31,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
32,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
33,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
34,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
35,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
36,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
37,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
38,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
39,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,3,0,4,0,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0
Time: 00:01:21.5931436
