The model is (csv):
time,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v14,v16,v18,v20,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
0,4,0,4,4,4,2,4,2,4,4,4,0,4,0,4,4,3,4,4,4,0,4,3,4,3,4,2,4,4,4
1,3,1,4,3,4,3,4,1,4,4,3,1,3,0,3,4,3,4,4,3,1,4,4,4,4,4,1,4,3,3
2,2,2,3,2,3,3,3,0,4,4,2,2,2,1,2,4,2,3,4,2,2,3,4,3,4,4,1,4,4,4
3,2,2,2,1,2,2,2,1,3,3,1,3,1,0,1,3,2,3,3,1,3,3,4,3,4,3,2,3,4,4
4,3,1,1,0,1,2,2,1,3,3,1,2,1,0,0,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3
5,2,1,0,0,2,2,2,1,2,3,2,2,2,1,1,2,1,2,1,1,2,2,3,1,3,1,2,2,3,3
6,2,2,1,1,1,1,1,1,1,2,3,2,2,1,1,2,1,1,2,1,2,1,2,1,3,1,2,2,2,3
7,2,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2
8,2,2,1,2,2,1,1,2,1,1,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,3,2,3,1,1,1,3,1,1,3,3,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
10,3,3,3,3,1,1,1,3,1,1,3,3,3,3,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1
11,3,3,3,3,2,2,1,3,1,1,3,3,3,3,3,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1
12,3,3,3,3,2,2,2,3,1,2,3,3,3,3,3,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1
13,3,3,3,3,2,2,2,3,1,2,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1
14,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
15,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
16,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,<---
Time: 00:00:30.5607479
