The model is (csv):
time,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v14,v16,v18,v20,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
0,2,4,0,4,4,1,1,3,0,2,0,4,1,4,0,3,1,1,4,3,4,2,0,3,1,4,4,1,1,2
1,3,3,0,4,3,1,2,4,1,2,0,3,2,3,1,2,2,2,4,4,3,1,0,3,2,4,3,1,0,1
2,3,2,1,3,4,2,2,3,2,1,0,2,3,4,2,2,2,3,3,3,2,0,1,2,2,3,2,2,0,2
3,2,1,2,4,3,2,1,3,2,0,1,2,2,4,2,2,2,3,4,2,2,0,2,2,1,3,2,2,1,1
4,2,1,2,4,2,2,1,3,2,0,1,2,2,3,3,1,2,2,3,1,2,1,2,2,0,3,2,1,2,0
5,2,1,2,3,1,2,1,2,2,1,1,2,3,2,4,1,2,2,2,1,2,2,2,2,0,2,2,1,2,0
6,2,2,3,2,1,2,1,2,2,2,2,2,3,2,4,1,1,2,1,1,2,2,2,1,1,1,2,1,2,0
7,2,2,3,2,1,1,1,2,1,2,3,2,3,2,4,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1
8,2,3,3,2,2,1,2,2,1,2,3,2,3,2,3,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2
9,2,3,3,2,2,1,2,2,1,2,3,3,3,3,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2
10,3,3,2,3,2,1,2,3,1,2,3,3,3,3,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2
11,3,3,2,3,2,1,2,3,1,2,2,3,2,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2
12,3,2,2,3,2,2,1,3,2,1,2,3,2,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2
13,3,2,2,3,2,2,1,3,2,1,2,3,2,3,2,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1
14,3,2,2,3,1,2,1,3,2,1,2,3,3,3,3,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1
15,3,2,3,3,1,2,1,3,2,1,2,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
16,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
17,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1
18,2,3,3,2,2,1,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2
19,2,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
20,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
21,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
22,3,2,2,3,1,2,1,3,2,1,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
23,3,2,2,3,1,2,1,3,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
24,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,<---
25,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1
26,2,3,3,2,2,1,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2
27,2,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
28,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
29,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
30,3,2,2,3,1,2,1,3,2,1,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
31,3,2,2,3,1,2,1,3,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
32,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
33,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1
34,2,3,3,2,2,1,2,2,1,2,3,2,3,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2
35,2,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
36,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2
37,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
38,3,2,2,3,1,2,1,3,2,1,2,3,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
39,3,2,2,3,1,2,1,3,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1
Time: 00:00:44.5856771
