The model is (csv):
time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95
0,2,2,0,1,2,2,1,0,2,1,1,0,2,2,1,0,0,2,2,2,2,2,1,1,0,2,2,0,0,1,1,0,0,1,1,1,2,2,2,2,2,1,2,2,0,1,2,2,2,2,2,0,2,2,0,1,1,0,0,0,0,0,1,0,1,0,2,2,2,0,0,1,0,0,0,0,1,0,2,2,2,0,2,1,0
1,2,2,1,0,1,2,2,0,2,1,2,0,2,2,1,1,1,1,2,2,2,1,0,1,0,2,2,1,0,0,1,0,0,0,1,2,1,2,2,2,2,0,1,1,0,0,2,2,2,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,2,2,2,0,0,0,1,0,1,1,2,0,1,1,2,0,2,1,0
2,2,2,2,0,0,1,2,0,2,2,2,0,2,1,1,0,2,1,1,2,2,0,1,1,0,2,2,2,1,0,0,0,0,0,1,2,2,1,2,2,2,0,2,1,0,0,2,2,2,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,2,1,2,0,0,0,2,0,2,1,2,0,2,1,2,0,2,1,0
3,2,2,2,1,0,0,1,0,1,2,2,0,2,1,1,1,2,2,1,1,2,0,0,1,0,2,2,2,2,1,0,0,0,0,1,2,2,2,1,2,2,0,1,1,0,0,2,2,2,2,2,0,0,0,0,2,2,1,0,1,0,0,1,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,2,2,2,0,2,1,0
4,2,2,2,2,1,0,0,0,0,1,2,0,2,1,1,2,2,2,2,1,1,1,0,1,0,2,2,2,2,2,1,0,0,0,1,2,2,2,2,1,2,0,0,1,0,0,2,2,2,2,2,0,0,0,0,2,2,2,1,0,1,0,0,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,1,2,2,0,2,1,0
5,2,2,2,2,2,1,0,0,0,0,2,0,2,1,1,1,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,1,0,0,1,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,1,0,0,0,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,0,1,2,0,1,1,0
6,2,2,2,2,2,2,1,0,0,0,2,0,1,1,1,0,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,1,0,0,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,2,1,0
7,2,1,2,2,2,2,2,0,0,1,2,0,2,1,1,0,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,1,0,2,0,2,1,0
8,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,0,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,0,2,1,0
9,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,1,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
10,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
11,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
12,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
13,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
14,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
15,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
16,2,2,2,2,2,2,2,0,0,2,2,0,2,1,1,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,0
