The model is (csv):
time,v6,v8,v11,v12,v16,v20,v22,v23,v24,v25,v30,v31,v32,v34,v36,v37,v38,v39,v40,v41,v42,v43,v45,v46,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70
0,4,0,3,0,4,4,4,4,4,3,4,3,4,3,3,4,0,3,4,4,0,2,0,0,2,0,3,4,0,4,4,2,1,2,3,4,0,0,2,1
1,4,1,3,0,3,3,3,3,4,4,3,3,3,2,3,4,1,3,3,3,0,1,0,0,2,0,4,4,0,3,3,3,0,1,2,4,1,1,3,2
2,3,2,2,1,2,2,2,2,3,4,3,3,4,1,3,3,2,3,3,2,0,0,0,0,2,0,4,4,1,2,2,4,1,1,1,3,1,2,3,3
3,2,2,1,0,3,1,2,1,3,3,3,2,3,2,2,2,2,3,4,1,0,0,0,0,2,0,3,3,1,2,1,3,1,2,2,2,1,2,3,3
4,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,3,1,3,4,1,0,0,0,0,1,0,2,3,1,2,1,3,2,2,2,2,1,2,3,2
5,1,2,2,2,2,3,2,1,2,1,2,1,1,2,1,3,2,2,4,0,0,0,0,0,2,0,2,3,1,2,1,2,2,2,2,2,1,2,3,2
6,0,2,1,3,2,3,2,2,2,1,1,2,1,2,1,3,2,2,4,1,0,0,0,0,2,0,2,3,1,2,1,2,2,2,2,2,1,2,2,3
7,1,1,2,3,2,3,2,2,2,0,1,1,0,2,1,3,3,2,4,1,0,0,0,0,3,0,2,3,1,1,1,2,2,2,2,2,1,1,2,3
8,1,1,2,4,2,3,1,2,1,1,1,2,0,1,1,3,3,2,4,1,0,0,0,0,3,0,2,3,1,1,1,2,1,2,1,1,1,1,2,3
9,1,1,2,4,3,3,1,2,1,1,1,2,1,1,2,3,3,2,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,2,1,1,1,1,2,3
10,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,3,3,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,2,1,1,1,1,3,3
11,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,2,1,1,1,1,3,2,<---
12,1,2,2,3,3,2,1,1,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,1,1,2,1,2,3,2
13,1,2,1,3,3,2,2,1,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,2,3,1,2,1,3,1,1,2,2,0,2,3,2
14,1,2,1,3,3,2,2,1,2,1,2,1,1,2,1,3,2,3,4,1,0,0,0,0,3,0,2,3,0,2,0,3,2,1,2,2,0,2,3,2
15,1,2,1,3,2,3,2,2,2,1,2,1,1,2,1,3,2,3,4,1,0,0,0,0,3,0,2,4,0,1,0,2,2,2,2,2,0,2,3,2
16,1,1,2,3,2,3,2,2,2,1,2,1,1,2,1,3,3,2,4,1,0,0,0,0,3,0,2,4,0,1,0,2,2,2,2,1,1,1,2,3
17,1,1,2,3,2,3,1,2,2,1,1,2,1,1,1,3,3,2,4,1,0,0,0,0,3,0,1,4,0,1,1,2,1,2,1,1,1,1,2,3
18,1,1,2,3,3,3,1,2,2,1,1,2,1,1,2,3,3,2,4,1,0,0,0,0,3,0,1,4,1,1,1,3,1,2,1,1,1,1,2,3
19,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,3,3,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,2,1,1,1,1,3,3
Time: 00:00:44.2805327
