"","Cebpa","EKLF","EgrNab","Fli1","Fog1","Gata1","Gata2","Gfi1","Pu.1","Scl","cJun"
"c120",true,false,false,false,true,true,true,false,false,true,false
"c121",true,false,false,false,true,true,true,false,false,true,true
"c122",true,false,false,false,true,true,true,true,false,false,false
"c123",true,false,false,false,true,true,true,true,false,false,true
"c124",true,false,false,false,true,true,true,true,false,true,false
"c125",true,false,false,false,true,true,true,true,false,true,true
"c126",true,false,false,true,false,true,true,false,false,false,false
"c127",true,false,false,true,false,true,true,false,false,false,true
"c128",true,false,false,true,false,true,true,false,false,true,false
"c129",true,false,false,true,false,true,true,false,false,true,true
"c130",true,false,false,true,false,true,true,true,false,false,false
"c131",true,false,false,true,false,true,true,true,false,false,true
"c132",true,false,false,true,false,true,true,true,false,true,false
"c133",true,false,false,true,false,true,true,true,false,true,true
"c134",true,false,false,true,true,true,false,false,false,false,false
"c135",true,false,false,true,true,true,false,false,false,false,true
"c136",true,false,false,true,true,true,false,false,false,true,false
"c137",true,false,false,true,true,true,false,false,false,true,true
"c138",true,false,false,true,true,true,false,true,false,false,false
"c139",true,false,false,true,true,true,false,true,false,false,true
"c140",true,false,false,true,true,true,false,true,false,true,false
"c141",true,false,false,true,true,true,false,true,false,true,true
"c142",true,false,false,true,true,true,true,false,false,false,false
"c143",true,false,false,true,true,true,true,false,false,false,true
"c144",true,false,false,true,true,true,true,false,false,true,false
"c145",true,false,false,true,true,true,true,false,false,true,true
"c146",true,false,false,true,true,true,true,true,false,false,false
"c147",true,false,false,true,true,true,true,true,false,false,true
"c148",true,false,false,true,true,true,true,true,false,true,false
"c149",true,false,false,true,true,true,true,true,false,true,true
"c150",true,false,true,false,false,false,false,false,true,false,true
"c151",true,false,true,false,false,false,true,false,false,false,false
"c152",true,false,true,false,false,false,true,false,false,false,true
"c153",true,false,true,false,false,false,true,false,true,false,true
"c154",true,false,true,false,false,true,true,false,false,false,false
"c155",true,false,true,false,false,true,true,false,false,false,true
"c156",true,false,true,false,false,true,true,false,false,true,false
"c157",true,false,true,false,false,true,true,false,false,true,true
"c158",true,false,true,false,true,true,false,false,false,false,false
"c159",true,false,true,false,true,true,false,false,false,false,true
"c160",true,false,true,false,true,true,false,false,false,true,false
"c161",true,false,true,false,true,true,false,false,false,true,true
"c162",true,false,true,false,true,true,true,false,false,false,false
"c163",true,false,true,false,true,true,true,false,false,false,true
"c164",true,false,true,false,true,true,true,false,false,true,false
"c165",true,false,true,false,true,true,true,false,false,true,true
"c166",true,false,true,true,false,true,true,false,false,false,false
"c167",true,false,true,true,false,true,true,false,false,false,true
"c168",true,false,true,true,false,true,true,false,false,true,false
"c169",true,false,true,true,false,true,true,false,false,true,true
"c170",true,false,true,true,true,true,false,false,false,false,false
"c171",true,false,true,true,true,true,false,false,false,false,true
"c172",true,false,true,true,true,true,false,false,false,true,false
"c173",true,false,true,true,true,true,false,false,false,true,true
"c174",true,false,true,true,true,true,true,false,false,false,false
"c175",true,false,true,true,true,true,true,false,false,false,true
"c176",true,false,true,true,true,true,true,false,false,true,false
"c177",true,false,true,true,true,true,true,false,false,true,true
"c178",true,true,false,false,false,true,true,false,false,false,false
"c179",true,true,false,false,false,true,true,false,false,false,true
"c180",true,true,false,false,false,true,true,false,false,true,false
"c181",true,true,false,false,false,true,true,false,false,true,true
"c182",true,true,false,false,false,true,true,true,false,false,false
"c183",true,true,false,false,false,true,true,true,false,false,true
"c184",true,true,false,false,false,true,true,true,false,true,false
"c185",true,true,false,false,false,true,true,true,false,true,true
"c186",true,true,false,false,true,true,false,false,false,false,false
"c187",true,true,false,false,true,true,false,false,false,false,true
"c188",true,true,false,false,true,true,false,false,false,true,false
"c189",true,true,false,false,true,true,false,false,false,true,true
"c190",true,true,false,false,true,true,false,true,false,false,false
"c191",true,true,false,false,true,true,false,true,false,false,true
"c192",true,true,false,false,true,true,false,true,false,true,false
"c193",true,true,false,false,true,true,false,true,false,true,true
"c194",true,true,false,false,true,true,true,false,false,false,false
"c195",true,true,false,false,true,true,true,false,false,false,true
"c196",true,true,false,false,true,true,true,false,false,true,false
"c197",true,true,false,false,true,true,true,false,false,true,true
"c198",true,true,false,false,true,true,true,true,false,false,false
"c199",true,true,false,false,true,true,true,true,false,false,true
"c200",true,true,false,false,true,true,true,true,false,true,false
"c201",true,true,false,false,true,true,true,true,false,true,true
"c202",true,true,true,false,false,true,true,false,false,false,false
"c203",true,true,true,false,false,true,true,false,false,false,true
"c204",true,true,true,false,false,true,true,false,false,true,false
"c205",true,true,true,false,false,true,true,false,false,true,true
"c206",true,true,true,false,true,true,false,false,false,false,false
"c207",true,true,true,false,true,true,false,false,false,false,true
"c208",true,true,true,false,true,true,false,false,false,true,false
"c209",true,true,true,false,true,true,false,false,false,true,true
"c210",true,true,true,false,true,true,true,false,false,false,false
"c211",true,true,true,false,true,true,true,false,false,false,true
"c212",true,true,true,false,true,true,true,false,false,true,false
"c213",true,true,true,false,true,true,true,false,false,true,true
