"","Cbfa2t3h","Erg","Ets1","Ets2","Etv2","Etv6","Fli1","FoxH1","FoxO4","Gata1","Gfi1","Gfi1b","Hhex","HoxB2","HoxB3","HoxB4","HoxD8","Ikaros","Ldb1","Lmo2","Lyl1","Mecom","Meis1","Mitf","Myb","Nfe2","Notch1","Runx1","Sfpi1","Sox17","Sox7","Tal1","Tbx20","Tbx3"
"HFB9_177","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","false","true","false","false","false","true","false","true","true","true","true","true","false"
"HFB12_136","true","true","true","true","true","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","true","true","true","true","true","true","true","true","true","true"
"NPA6_034","true","true","true","true","false","true","true","true","true","true","false","true","true","false","false","true","false","true","true","true","true","false","true","true","true","true","true","true","true","false","true","true","false","true"
"NPA7_046","false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","true","false","false","true","false","false","false","true","true","false","false","true","true","false","false","false","true","true","true"
"SomHA9_182","true","false","true","true","false","true","true","true","true","true","false","true","true","false","false","false","false","true","true","false","false","false","false","true","true","true","false","true","false","false","false","true","false","false"
"NPA7_027","true","true","true","true","true","true","true","true","true","false","false","false","false","false","false","true","false","true","true","true","true","false","true","false","true","true","true","true","false","false","true","true","true","false"
"HFB11_124","true","true","true","true","true","true","true","true","true","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","false","false","true","true","true","true","true","true","true","true"
"HFB11_070","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","true","true","false","true","false","true","false","false","true","true","true","true","true","true","true","true","false"
"HFA4_063","true","false","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","true","true","false","false","false","true","true","true","true","true","true","true","true"
"SomHA7_146","true","false","false","true","false","true","true","true","true","true","false","true","true","false","false","false","false","true","true","true","true","false","false","false","true","true","false","true","true","false","false","true","false","false"
"PSB2_053","false","true","true","true","true","true","true","true","true","false","true","false","true","false","false","false","false","false","true","true","true","false","true","false","true","false","true","true","false","true","true","true","true","true"
"SomNHA3_182","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","true","false","false"
"PSA5_015","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","false","false","true","false","false","false","true","true","true","false","true","true","true","true"
"HFB9_078","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","false","true","false","false","false","true","true","true","true","true","true","false","false"
"SomHA7_025","true","true","false","true","true","true","true","true","true","true","false","true","true","false","false","false","false","true","true","true","true","false","true","false","true","true","false","true","true","false","false","true","false","false"
"SomHA8_222","true","false","true","true","false","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","true","false","false","true","true","true","false","true","false","false","false","true","false","false"
"NPA7_054","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","false","true","false","false","true","true","true","false","true","true","true","true","true"
"NPB3_035","true","false","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","true","true","false","false","true","true","true","true"
"HFB11_057","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","false","true","true","true","true","true","false","false","false","true","true","false","true","true","true","true","false"
"NPA7_018","false","false","true","true","true","true","false","true","true","false","false","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true"
"SomHA8_037","true","false","true","true","false","false","true","true","true","true","false","true","false","false","false","false","false","true","true","true","true","false","false","true","true","true","false","true","false","false","false","true","false","false"
"SomNHA6_013","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","true","false","false","false","false","true","true","false","true","true","true","true","true"
"PSA8_028","true","true","true","true","true","true","true","true","true","false","true","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","true","true","true","false","true","true","true","true"
"SomNHA6_181","false","false","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","false","true","false","true","false","true","false","false","false","true","false","false","false","true","true","true","true"
"SomHA8_202","true","false","false","true","false","true","false","true","true","true","false","true","true","false","false","false","false","true","true","false","true","false","false","true","true","true","false","true","true","false","false","true","false","false"
"SomHA8_346","true","false","false","true","false","true","false","true","true","true","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","false","true","false","false","false","true","false","true"
"HFB13_008","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","true","true","true","true","true","true","false","true","false","false","false","false","true","true","true","true","false"
"HFB10_023","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","false","true","true","true","false","true","false","false","false","true","true","true","false","true","true","true","true"
"SomHA7_069","false","false","false","true","false","false","true","true","true","true","false","true","false","false","false","false","false","true","true","false","true","false","false","false","false","true","false","true","false","false","false","true","false","false"
"HFB13_084","true","true","true","true","true","true","true","true","true","false","true","true","true","false","false","true","false","true","true","true","true","true","true","false","true","false","true","true","true","true","true","true","true","true"
"SomNHA4_152","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false","false","true","false","false","true","true","true","false","true"
"SomNHA4_215","false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","true","true"
"SomHA7_032","true","false","false","true","false","true","false","true","true","true","false","true","false","false","false","false","false","true","true","false","true","false","false","false","false","true","false","true","false","false","false","true","false","false"
"NPA6_027","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","true","true","true","true","true","true","false","true","false","true","true","true","false","true","true","true","true"
"SomHA7_281","true","false","false","true","false","true","true","true","true","true","false","true","true","false","false","false","false","true","true","true","true","false","true","true","false","true","false","true","true","false","false","true","false","false"
"SomHA7_332","true","false","false","true","false","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false"
"NPA7_079","true","false","true","true","true","true","true","true","true","true","true","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","false","true","true","false","true","true","true","false"
"HFA4_068","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","true","true","false","false","true","true","true","true","false","true","true","true","false"
"SomNHA5_148","false","false","true","true","true","true","false","true","true","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","true","true"
"HFA1_102","false","false","true","true","true","true","false","true","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false"
"HFB10_103","true","false","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","false","true","true","true","true","true","false","false","false","true","true","true","true","true","true","true","false"
"SomHA9_307","true","false","true","true","true","true","true","true","true","true","false","true","true","false","false","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","false","true","false","false"
"HFB11_090","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","false","true","false","true","true","true","false","false","false","true","true","true","true","true","true","true","false"
"SomNHA4_045","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","false","true","true","true","false","true","false","true","true","true","true","true","true","true","false"
"SomNHA6_053","false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","true","true","true","true"
"PSB1_091","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","true","true","false","false","false","false","false","true","true","true","false","true","true","true","true"
"SomNHA4_088","true","true","true","true","false","true","true","true","true","false","false","false","true","false","false","true","false","false","true","false","true","true","true","true","false","false","true","true","true","true","true","true","false","false"
"HFB9_029","true","true","true","true","true","true","true","true","false","false","false","false","true","false","false","false","false","false","true","true","true","false","true","false","false","false","true","true","false","true","true","true","true","false"
"NPA6_008","true","true","true","true","true","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","true","false","true","false","true","true","true","true","true","false","true","true","false","false"
"SomHA8_059","true","false","true","true","false","true","true","true","true","true","false","true","true","false","false","false","false","true","true","true","true","false","false","true","true","true","false","true","true","false","false","true","false","false"
"PSA4_029","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","true","false","true","true","true","true","false","true","false","true","true","true","true","false","false","true","true","true","true"
"SomHA7_083","true","false","false","true","false","false","true","true","true","true","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","false","true","false","false","false","true","false","true"
"PSA8_040","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","true","false","true","true","true","true","true","true","false","true","true","true","true","true","true","true","true","true","true"
"HFB9_182","true","true","true","true","false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","true","false","true","false","true","false","true","true","true","false","true","true","false","false"
"NPA7_036","false","false","true","true","true","true","false","true","true","false","false","false","false","false","false","true","false","false","true","true","false","false","true","false","false","false","true","true","false","false","false","true","true","true"
"SomNHA4_038","true","true","true","true","false","true","true","true","true","false","false","false","true","false","false","true","false","true","true","true","true","true","true","false","false","false","true","true","false","true","true","true","true","false"
"NPB6_025","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","true","true","false","true","false","true","true","true","false","true","true","true","false"
"SomHA8_134","true","false","false","true","false","false","false","true","true","true","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","false","true","false","false","false","true","false","false"
"NPA7_007","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","true","false","true","true","false","true","false","true","false","true","true","true","true","true","false","true","true","false","true"
