Gene,StateA,StateB
Erg,PSB1_053,HFB12_081
Meis1,NPB4_041,NPB2_005
Sfpi1,PSB1_055,HFB13_079
Tbx3,PSB1_055,PSB2_036
Gfi1b,PSB1_056,NPB3_035
Sfpi1,PSA2_018,HFB9_069
Erg,PSA2_018,PSA7_014
Mitf,PSB1_060,SomNHA4_189
HoxB4,PSA2_016,NPB6_047
Erg,PSA2_016,PSB1_067
Ikaros,PSA2_016,PSA6_022
HoxB4,PSB1_062,HFA4_009
Mitf,PSB1_062,NPA6_065
Erg,PSB1_062,PSB3_057
Sox17,PSB1_062,PSA6_045
Myb,PSB1_062,PSA2_034
Mecom,PSB1_062,PSA2_002
Sfpi1,PSB1_062,PSA1_087
Meis1,PSA2_012,HFB10_045
Tbx20,PSA2_012,NPA7_075
Mitf,PSA2_012,NPA6_047
Erg,PSA2_012,NPA6_031
Mecom,PSA2_012,PSA8_002
HoxB4,PSA2_012,PSA3_007
Myb,NPB4_038,HFB13_103
Gfi1b,NPB4_038,PSA6_045
Mitf,NPB4_039,HFB10_045
Meis1,NPB4_039,NPA6_047
Gfi1,NPB4_039,PSA8_019
Sox17,NPB4_039,PSA5_013
Mecom,NPB4_039,PSA1_076
Mitf,NPB4_033,NPA7_059
Fli1,PSB1_068,SomNHA5_140
Lmo2,PSB1_068,NPA7_036
Runx1,PSB1_068,PSB3_009
Tal1,PSB1_068,PSA1_041
Myb,PSB1_067,HFB9_135
HoxB4,PSB1_067,NPA7_038
Sfpi1,PSB1_067,NPA6_058
Gfi1b,PSB1_067,PSB3_075
Erg,PSB1_067,PSA2_016
Tbx3,NPB4_035,SomNHA5_107
Meis1,NPB4_035,HFB9_115
Hhex,PSA2_007,NPB7_051
Cbfa2t3h,PSA2_009,PSB3_078
Hhex,PSB1_072,PSB1_051
Cbfa2t3h,PSA2_006,PSB1_080
Etv2,PSA2_006,PSB1_051
Notch1,PSA2_006,PSA7_044
Fli1,PSA2_006,PSA6_032
Runx1,PSA2_006,PSA3_008
Mecom,PSA2_006,PSA2_032
HoxB4,PSA2_006,PSA1_041
Sox17,PSA2_002,HFB11_125
HoxB4,PSA2_002,HFB10_038
Erg,PSA2_002,NPB2_072
Mecom,PSA2_002,PSB1_062
Nfe2,NPB4_025,HFB13_198
Gfi1,NPB4_025,HFB10_105
Etv6,SomHA9_009,SomHA8_137
Sfpi1,SomHA9_009,SomHA8_129
Lmo2,SomHA9_009,SomHA7_159
Mitf,NPB4_023,PSB3_083
Gfi1b,NPB4_023,PSA7_066
Tbx3,PSB1_079,NPB6_006
Fli1,PSB1_079,PSA8_042
Sox7,PSB1_079,PSA8_011
Hhex,PSB1_079,PSA1_095
Meis1,NPB4_021,NPB5_065
Lmo2,NPB4_021,PSA8_028
Gata1,NPB4_021,PSA7_056
Mitf,NPB4_021,PSA6_040
Meis1,SomHA9_003,SomHA9_257
Etv2,SomHA9_003,SomHA7_330
Meis1,NPB4_020,SomNHA6_123
Ets1,NPB4_020,SomNHA4_071
Runx1,NPB4_020,NPB5_022
Notch1,SomHA9_010,SomHA8_278
Mitf,PSB1_081,PSB3_041
Cbfa2t3h,PSB1_081,PSB2_052
Mecom,PSA9_017,SomNHA6_238
Sfpi1,PSA9_017,HFB13_034
Mitf,PSA9_017,NPB6_059
Tbx20,PSA9_017,NPB6_024
Lmo2,PSA9_017,NPB3_007
Ets1,PSB1_080,SomNHA4_051
Cbfa2t3h,PSB1_080,PSA2_006
Fli1,PSB1_080,PSA1_010
Sox17,NPB4_018,HFB13_034
Tbx20,NPB4_018,NPA6_083
Gfi1b,NPB4_014,HFB12_093
Tbx3,NPB4_014,HFB10_104
Tbx20,NPB4_017,HFB10_056
Mitf,NPB4_017,NPA7_044
Mitf,SomHA9_016,SomHA8_078
Meis1,SomHA9_016,SomHA8_070
Hhex,SomHA9_016,SomHA7_327
Ets1,SomHA9_016,SomHA7_039
Lmo2,SomHA9_017,SomHA9_089
Mitf,SomHA9_017,SomHA9_067
Lyl1,SomHA9_017,SomHA7_354
Mitf,PSB1_088,PSB3_056
Runx1,PSB1_088,PSB1_020
Sfpi1,PSB1_086,HFB11_011
Lyl1,PSB1_091,PSB3_030
Mitf,PSB1_091,PSA5_025
Meis1,PSB1_091,PSA1_087
Myb,HFB9_194,SomNHA5_016
Sfpi1,HFB9_194,SomNHA3_106
Ikaros,HFB9_194,HFB12_089
Cbfa2t3h,HFB9_196,SomNHA5_011
Tbx3,HFB9_196,HFB9_127
Lmo2,SomHA8_106,SomHA7_107
Lyl1,SomHA8_106,SomHA7_091
Cbfa2t3h,SomHA8_107,SomHA8_149
Lmo2,SomHA8_107,SomHA7_137
Notch1,SomHA8_104,SomHA7_310
Erg,SomHA9_023,SomHA7_033
Gfi1,SomHA9_022,SomHA8_160
Sfpi1,SomHA9_022,SomHA8_155
Ets1,SomHA9_022,SomHA8_024
Lmo2,SomHA9_022,SomHA7_263
Hhex,SomHA9_022,SomHA7_247
Mitf,SomHA9_022,SomHA7_181
Etv6,SomHA9_022,SomHA7_012
Ets1,SomHA8_105,SomHA7_186
Gfi1,SomHA8_105,SomHA7_067
Mitf,SomHA8_102,SomHA7_333
Tbx20,SomHA8_102,SomHA7_085
Tbx3,HFB9_185,SomNHA6_237
Sfpi1,HFB9_185,SomNHA4_055
Mecom,HFB9_185,SomNHA3_182
HoxB4,HFB9_185,HFB9_003
Tbx20,HFB9_185,HFB13_004
Myb,HFB9_185,HFB11_054
Ikaros,HFB9_187,HFB13_028
Myb,HFB9_187,HFB12_059
Lyl1,HFB9_187,NPB2_064
Etv2,HFB9_182,NPB5_053
Hhex,SomHA7_314,SomHA8_351
Meis1,SomHA7_314,SomHA8_114
Erg,SomHA7_314,SomHA8_059
Ets1,SomHA8_110,SomHA9_134
Myb,SomHA8_110,SomHA8_056
Etv2,SomHA8_110,SomHA7_047
Sfpi1,SomHA7_315,SomHA8_283
Lmo2,SomHA7_315,SomHA8_224
Ets1,SomHA7_315,SomHA8_179
Meis1,SomHA7_315,SomHA7_085
Mitf,SomHA7_315,SomHA7_067
Hhex,SomHA7_315,SomHA7_059
Meis1,SomHA7_317,SomHA8_278
Sfpi1,SomHA7_317,SomHA8_047
Ets1,SomHA7_317,SomHA7_308
Etv2,SomHA7_317,SomHA7_067
Gata1,SomHA7_310,SomHA9_155
Myb,SomHA7_310,SomHA8_260
Notch1,SomHA7_310,SomHA8_104
Fli1,SomHA7_310,SomHA8_060
Lmo2,SomHA7_310,SomHA8_008
Tbx3,SomHA7_310,SomHA7_296
Mitf,SomHA7_310,SomHA7_207
Sfpi1,SomHA7_310,SomHA7_146
Hhex,SomHA7_310,SomHA7_058
Ets1,SomHA7_310,SomHA7_007
Lmo2,SomHA7_311,SomHA8_169
Mecom,SomHA7_311,SomHA7_012
Hhex,SomHA9_030,SomHA9_315
Mitf,SomHA9_030,SomHA7_321
Fli1,SomHA9_030,SomHA7_199
Etv2,SomHA9_030,SomHA7_081
Myb,SomHA9_030,SomHA7_070
Sfpi1,SomHA9_030,SomHA7_056
Lmo2,SomHA8_117,SomHA9_138
Sfpi1,SomHA8_117,SomHA8_322
Sox7,SomHA8_117,SomHA7_252
Mitf,PSB1_020,SomNHA4_215
Runx1,PSB1_020,PSB1_088
Fli1,PSB1_020,PSA7_040
Lyl1,PSB1_024,NPA6_065
Etv2,SomHA8_114,SomHA9_088
Erg,SomHA8_114,SomHA8_304
Meis1,SomHA8_114,SomHA7_314
Notch1,SomHA8_114,SomHA7_075
HoxB4,HFB9_180,SomNHA3_142
Ikaros,HFB9_180,HFB12_077
Erg,HFB9_180,HFB10_042
Mitf,HFB9_180,HFA1_042
Tbx20,HFB9_177,SomNHA4_046
Runx1,HFB9_177,HFB9_116
Nfe2,HFB9_177,HFB9_006
Mecom,HFB9_177,HFB13_196
Ikaros,HFB9_177,HFB11_077
Meis1,HFB9_177,NPB6_003
Tbx20,HFB9_176,SomNHA3_060
Tbx3,HFB9_176,HFB9_118
Sfpi1,HFB9_176,HFB9_013
Myb,HFB9_176,HFB13_205
