Gene,StateA,StateB
Ikaros,HFB9_176,HFB13_146
Nfe2,HFB9_176,HFB13_025
Runx1,HFB9_176,HFB11_016
Cbfa2t3h,HFB9_174,HFB14_041
Tbx3,HFB9_172,NPA7_083
Mecom,HFB9_172,PSB2_056
Meis1,SomHA7_307,SomHA8_339
Etv2,SomHA7_307,SomHA8_212
Tbx20,SomHA7_307,SomHA8_029
Tbx3,SomHA7_307,NPA6_089
Notch1,SomHA7_307,NPA6_045
Myb,HFB9_171,HFB13_064
Nfe2,HFB9_171,PSB2_051
Lmo2,SomHA7_308,SomHA8_029
Etv2,SomHA7_308,SomHA7_344
Ets1,SomHA7_308,SomHA7_317
Hhex,SomHA7_308,SomHA7_292
Meis1,SomHA7_308,SomHA7_245
Sox17,HFB9_170,HFB14_026
Mitf,HFB9_170,HFB11_151
Nfe2,HFB9_170,HFB10_041
Sfpi1,HFB9_170,HFA4_108
Myb,PSA9_029,SomNHA4_059
Lmo2,PSA9_029,NPB8_036
Cbfa2t3h,PSA9_029,PSB3_031
Mitf,SomHA7_301,SomHA9_182
Lyl1,SomHA7_301,SomHA7_212
Hhex,SomHA7_301,SomHA7_107
Ets1,SomHA9_043,SomHA9_279
Mitf,SomHA9_043,SomHA8_215
Lmo2,SomHA9_043,SomHA8_057
Hhex,SomHA9_043,SomHA7_296
Sfpi1,SomHA9_043,SomHA7_227
Tbx3,SomHA9_043,SomHA7_058
HoxB4,PSB1_034,HFA4_093
Tbx3,PSB1_034,HFA1_032
Gata1,PSB1_034,NPB5_008
Gfi1b,PSB1_034,PSB2_044
Etv6,SomHA8_122,SomHA9_134
Sfpi1,SomHA8_122,SomHA8_025
Etv2,SomHA8_122,SomHA7_329
Meis1,SomHA8_122,SomHA7_292
Hhex,SomHA8_122,SomHA7_245
Myb,SomHA7_340,SomHA8_225
Fli1,SomHA8_128,SomHA7_219
Tbx3,SomHA8_128,SomHA7_159
Meis1,SomHA8_129,SomHA9_262
Sfpi1,SomHA8_129,SomHA9_009
Lmo2,SomHA8_129,SomHA8_134
Etv6,SomHA8_129,SomHA7_271
Myb,SomHA8_129,SomHA7_166
Nfe2,SomHA9_046,HFA4_022
Sox7,SomHA9_046,NPB5_019
Tbx3,PSB1_032,HFB12_072
Ets1,PSB1_032,PSA3_008
Sox7,SomHA9_044,SomHA8_008
Meis1,PSB1_033,SomNHA6_134
Runx1,PSB1_033,NPA7_018
Mecom,PSB1_033,PSA7_044
Notch1,PSB1_033,PSA2_032
Myb,SomHA7_341,SomHA7_115
Sfpi1,SomHA7_341,SomHA7_032
Lmo2,SomHA7_341,SomHA7_031
Fli1,SomHA7_341,SomHA7_010
HoxB4,HFB9_160,HFB11_050
Mecom,HFB9_160,HFB11_048
Myb,HFB9_160,HFB10_121
Gfi1b,HFB9_160,HFA4_006
Tbx3,HFB9_161,SomNHA4_013
Tbx20,HFB9_161,SomNHA3_081
Lyl1,HFB9_161,HFB14_015
Mitf,HFB9_161,HFB13_046
Ikaros,HFB9_161,HFB12_127
Runx1,HFB9_163,PSB3_059
Tbx20,HFB9_168,SomNHA4_055
Gfi1,HFB9_168,HFB9_083
HoxB4,HFB9_168,HFB13_189
Sfpi1,HFB9_168,HFB13_004
Myb,HFB9_168,HFB11_057
Mecom,HFB9_168,HFB11_016
Meis1,SomHA7_332,SomHA7_169
Myb,SomHA7_332,SomHA7_039
Sox17,SomHA9_054,SomHA9_299
Mitf,SomHA7_333,SomHA8_102
Tbx20,SomHA7_333,SomHA7_354
Meis1,SomHA7_334,SomHA7_033
Tbx3,HFB9_169,SomNHA6_085
Hhex,HFB9_169,HFB11_150
Gfi1b,HFB9_169,HFA4_047
Mecom,HFB9_169,NPB2_014
Ldb1,SomHA7_335,SomHA7_085
Hhex,SomHA7_337,SomHA8_134
Etv6,SomHA7_337,SomHA8_028
Etv2,SomHA7_337,SomHA7_325
Fli1,SomHA7_337,SomHA7_181
Cbfa2t3h,SomHA8_130,SomHA9_133
Lmo2,SomHA8_134,SomHA8_129
Hhex,SomHA8_134,SomHA7_337
Gata1,SomHA8_134,SomHA7_251
Myb,SomHA8_134,SomHA7_217
Sfpi1,SomHA8_134,SomHA7_159
Etv6,SomHA8_134,SomHA7_081
Mitf,SomHA8_134,SomHA7_040
Ets1,SomHA8_134,SomHA7_035
Fli1,SomHA8_134,SomHA7_034
Lmo2,PSB1_046,NPA6_064
Etv6,SomHA8_137,SomHA9_009
Fli1,SomHA8_137,SomHA8_152
Mitf,SomHA8_137,SomHA8_041
Sfpi1,SomHA8_137,SomHA7_271
Lmo2,SomHA8_137,SomHA7_115
Myb,SomHA8_137,SomHA7_031
Myb,SomHA9_055,SomHA7_275
Lmo2,SomHA7_330,SomHA9_235
Etv2,SomHA7_330,SomHA9_003
Meis1,SomHA7_330,SomHA7_113
Sox17,NPB4_053,HFB9_032
HoxB4,NPB4_053,HFB13_141
Lmo2,NPB4_053,HFA1_056
Cbfa2t3h,NPB4_053,NPB5_020
Gfi1,NPB4_053,PSB2_053
Myb,SomHA8_139,SomHA7_006
Gfi1,NPB4_052,HFB13_199
Tbx3,NPB4_052,HFB13_117
Myb,NPB4_052,HFB10_013
Sfpi1,NPB4_052,NPB8_022
Lmo2,NPB4_052,NPA6_083
Gata1,NPB4_052,PSA8_045
Lyl1,SomHA7_329,SomHA9_160
Etv2,SomHA7_329,SomHA8_122
Lmo2,SomHA7_329,SomHA8_070
Fli1,SomHA7_329,SomHA7_358
Etv6,SomHA7_329,SomHA7_274
Sfpi1,SomHA7_329,SomHA7_147
Ets1,SomHA7_329,SomHA7_078
Tbx3,SomHA7_329,SomHA7_018
Hhex,SomHA7_329,SomHA7_006
Mitf,SomHA7_329,SomHA7_003
Notch1,HFB9_153,NPB5_045
Hhex,PSB1_051,PSB1_072
Etv2,PSB1_051,PSA2_006
Runx1,PSB1_051,PSA1_034
Tbx20,SomHA9_062,SomHA7_007
Myb,SomHA7_324,SomHA8_346
Fli1,SomHA7_324,SomHA7_046
Tbx3,SomHA7_324,SomHA7_032
Etv6,SomHA9_064,SomHA8_319
Ets1,SomHA9_064,SomHA8_148
Mitf,SomHA7_321,SomHA9_030
Fli1,SomHA7_321,SomHA8_243
Sfpi1,SomHA7_321,SomHA7_365
Etv2,SomHA7_321,SomHA7_033
Gfi1,SomHA7_327,SomHA9_170
Hhex,SomHA7_327,SomHA9_016
Ets1,SomHA7_327,SomHA8_350
Meis1,SomHA7_327,SomHA8_319
Mitf,SomHA7_327,SomHA8_304
Tbx20,SomHA7_327,SomHA8_212
Etv2,SomHA7_327,SomHA8_029
Lmo2,SomHA7_327,SomHA7_344
Fli1,SomHA8_140,SomHA9_262
Etv6,SomHA7_325,SomHA9_315
Etv2,SomHA7_325,SomHA7_337
Tbx3,HFB9_149,SomNHA4_132
Ets1,HFB9_149,PSB2_029
Mecom,HFB9_146,SomNHA4_105
Sox17,HFB9_146,SomNHA3_200
Cbfa2t3h,HFB9_146,HFB14_014
Myb,HFB9_146,HFB13_142
Ikaros,HFB12_065,HFB12_109
Gfi1,HFB12_065,HFB11_145
Myb,HFB12_065,NPB8_032
Sox17,HFB12_065,NPB8_022
Lmo2,HFB12_065,NPB6_024
Tbx20,HFB12_065,NPB3_007
Mecom,HFB11_140,HFB9_017
Tbx3,HFB11_140,HFB12_090
Gfi1,HFB11_140,HFB10_018
Nfe2,HFB11_140,NPB7_018
Myb,HFB11_140,PSA8_040
Tbx3,HFB9_142,SomNHA4_142
Tbx20,HFB12_060,SomNHA6_238
Tbx3,HFB12_060,SomNHA6_008
Erg,HFB12_060,HFB9_069
Mitf,HFB12_060,HFB13_048
Ikaros,HFB12_060,HFA4_047
Myb,HFB12_060,NPB7_018
Mecom,HFB12_060,NPB6_024
Sox17,HFB12_060,NPA6_027
Nfe2,HFB12_060,PSA8_040
Sfpi1,HFB12_060,PSA7_014
Sox7,HFB9_140,HFB12_073
Mecom,HFB11_145,HFB12_116
Gfi1,HFB11_145,HFB12_065
Sfpi1,HFB11_144,HFB12_036
Mecom,HFB11_144,HFB11_028
Hhex,HFB11_144,NPA6_048
Erg,HFB9_139,HFB13_145
Tbx3,HFB9_139,NPA6_095
Gfi1,HFB9_139,NPA6_087
Sox7,HFB9_139,NPA6_045
Gata1,HFB9_139,PSA5_001
HoxB4,HFB9_135,HFB10_115
Sox17,HFB9_135,HFA1_064
Myb,HFB9_135,PSB1_067
Ikaros,HFB9_135,PSA1_087
Runx1,HFB12_079,SomNHA6_240
Ikaros,HFB12_077,HFB9_180
Sfpi1,HFB12_077,HFB12_037
Mitf,HFB12_077,HFB11_091
Lmo2,HFB12_077,HFB10_041
Meis1,HFB12_077,NPA6_107
Runx1,HFB11_151,SomNHA4_101
Mitf,HFB11_151,HFB9_170
Sox17,HFB11_151,HFB9_047
Mecom,HFB11_151,HFB13_183
Sfpi1,HFB11_151,PSA8_040
Nfe2,HFB11_151,PSA7_014
Mecom,HFB12_078,HFB13_019
Ikaros,HFB12_078,HFB12_103
Tbx3,HFB12_078,HFB11_098
Runx1,HFB12_078,HFB11_026
Sfpi1,HFB12_078,HFA4_122
Hhex,HFB11_150,HFB9_169
Tbx20,HFB11_156,HFB10_073
Lmo2,HFB11_156,HFA4_003
Mecom,HFB11_156,NPB7_051
Gata1,HFB11_156,PSB2_083
Sox7,HFB12_073,HFB9_140
Nfe2,HFB12_073,NPB7_051
Tbx3,HFB12_073,NPB2_068
Gfi1,HFB12_073,PSA8_032
Lmo2,HFB12_071,HFB11_050
Ets1,HFB12_072,HFA1_102
Tbx3,HFB12_072,PSB1_032
Meis1,SomNHA3_009,SomNHA4_092
Mitf,SomNHA3_009,HFB11_087
Sox17,HFB12_046,HFB10_150
Mitf,HFB12_046,NPB7_012
Lmo2,HFB12_046,NPB3_021
Tbx3,HFB12_046,PSA8_034
Mecom,SomNHA3_010,SomNHA6_115
Etv2,SomNHA3_010,NPB6_052
Tbx3,HFB11_128,HFB13_189
Myb,HFB11_128,HFB11_125
Runx1,HFB11_128,HFB11_122
Sfpi1,HFB11_128,NPB5_056
Mecom,HFB11_128,NPB5_020
Runx1,SomNHA3_011,SomNHA6_104
Mitf,SomNHA3_011,SomNHA4_078
Lmo2,HFB11_125,SomNHA6_215
Tbx20,HFB11_125,SomNHA6_210
Erg,HFB11_125,SomNHA6_129
Meis1,HFB11_125,SomNHA6_013
HoxB4,HFB11_125,HFB12_087
Myb,HFB11_125,HFB11_128
Tbx3,HFB11_125,HFB10_163
Sfpi1,HFB11_125,HFB10_118
Mecom,HFB11_125,PSA6_045
Sox17,HFB11_125,PSA2_002
Myb,HFB9_129,HFB13_117
Tbx3,HFB9_129,HFB10_013
Lmo2,HFB9_129,HFA4_036
Ikaros,HFB11_124,SomNHA6_240
Nfe2,HFB11_124,SomNHA4_130
Sfpi1,HFB11_124,HFB9_064
Mecom,HFB9_127,SomNHA4_010
Tbx3,HFB9_127,HFB9_196
Cbfa2t3h,HFB9_127,HFA4_084
HoxB4,HFB9_127,HFA4_002
Myb,HFB9_128,HFB14_034
Runx1,HFB11_122,HFB11_128
Tbx3,HFB12_042,HFB9_078
Gata1,HFB12_042,PSB3_093
Tbx20,HFB12_042,PSB3_042
Nfe2,HFB9_122,HFB12_115
Mecom,HFB9_122,HFB12_093
Tbx3,HFB9_120,HFB9_119
Gfi1,HFB9_120,HFB10_056
Gata1,HFB9_120,NPA7_057
Sox17,HFB9_120,NPA7_008
Mitf,HFB9_120,PSB3_068
HoxB4,SomNHA3_017,SomNHA6_156
Etv2,SomNHA3_017,SomNHA5_147
Tbx20,SomNHA3_017,SomNHA4_013
Tbx3,SomNHA3_017,SomNHA3_081
Gfi1b,SomNHA3_017,HFB9_076
Mitf,SomNHA3_017,HFB11_054
HoxB4,SomNHA3_015,SomNHA5_045
Ikaros,SomNHA3_023,SomNHA6_173
Myb,HFB12_059,HFB9_187
Meis1,SomNHA3_022,SomNHA3_121
Erg,SomNHA3_022,SomNHA3_039
Ldb1,SomNHA3_021,HFB9_050
Lmo2,HFB9_115,SomNHA5_113
Meis1,HFB9_115,NPB4_035
Lyl1,HFB9_115,PSB2_029
HoxB4,HFB11_139,HFB13_048
Mecom,HFB11_139,HFB12_108
Lmo2,HFB11_139,HFA1_098
Runx1,HFB9_116,HFB9_177
Tbx20,HFB9_116,HFB9_078
HoxB4,HFB9_116,HFB10_008
Mecom,HFB9_116,HFA1_005
Lmo2,HFB9_116,NPB7_016
Sfpi1,HFB9_116,NPB6_031
Tbx3,HFB9_116,PSB3_042
Ikaros,HFB9_116,PSB3_026
Tbx20,HFB9_118,SomNHA6_034
Myb,HFB9_118,SomNHA3_095
Tbx3,HFB9_118,HFB9_176
Tbx3,HFB9_119,HFB9_120
Ldb1,HFB9_119,HFB13_197
Gata1,HFB9_119,HFB12_004
Gfi1,HFB9_119,HFB10_019
Mecom,HFB9_119,NPB7_012
Erg,HFB11_133,SomNHA4_169
Runx1,HFB12_052,SomNHA4_194
Mecom,HFB12_052,SomNHA4_046
HoxB4,HFB12_052,SomNHA3_194
Tbx20,HFB12_052,HFB13_196
Sfpi1,HFB12_052,HFB12_003
Sox17,HFB12_050,HFB13_205
Mecom,HFB12_050,HFB13_021
Lmo2,HFB12_050,HFB12_111
Hhex,HFB12_050,HFB10_161
Runx1,HFB12_050,NPB5_060
Tbx3,HFB12_056,SomNHA6_215
Mitf,HFB12_056,SomNHA6_172
FoxH1,HFB12_056,SomNHA6_143
Tbx20,HFB12_056,SomNHA5_138
Etv2,HFB12_056,SomNHA5_103
Myb,HFB12_056,HFB13_125
HoxB4,HFB12_056,HFB13_056
Runx1,HFB12_056,HFB11_021
Lmo2,HFB12_056,HFB10_163
Sfpi1,HFB12_056,NPA7_012
Tbx3,HFB9_110,HFB10_074
Etv2,HFB9_110,NPB2_026
Gata1,HFB9_110,NPA7_090
Tbx20,HFB9_110,NPA7_081
Meis1,HFB9_110,PSA7_065
Gfi1b,HFB9_110,PSA6_049
Tbx20,SomNHA3_026,SomNHA5_046
Tbx20,HFB12_029,HFB12_035
Sox17,HFB12_028,HFB13_061
Ikaros,HFB12_028,HFB11_033
Myb,HFB12_028,NPB5_075
Sox17,HFB9_107,HFB9_062
Ikaros,HFB9_107,HFB9_034
Cbfa2t3h,HFB11_104,SomNHA6_028
Mecom,HFB11_104,SomNHA3_099
Sfpi1,HFB11_104,HFB13_018
Gfi1b,HFB11_104,HFB10_035
Sox17,HFB9_105,HFB10_127
Erg,HFB9_105,HFA4_049
Mitf,HFB12_026,HFA1_120
Erg,SomNHA3_036,SomNHA3_198
Gfi1,SomNHA3_036,SomNHA3_124
Sfpi1,SomNHA3_036,HFB9_059
Runx1,SomNHA3_036,HFB10_024
Lyl1,SomNHA3_036,HFA4_010
Etv2,SomNHA3_037,SomNHA5_011
Sfpi1,SomNHA3_037,SomNHA3_174
Tbx20,SomNHA3_037,SomNHA3_152
Lmo2,SomNHA3_039,SomNHA4_099
Erg,SomNHA3_039,SomNHA3_022
Myb,NPB4_009,NPA7_004
Mitf,PSA2_043,PSA7_036
Mitf,HFB12_030,HFB10_026
Lyl1,HFB12_030,HFA1_108
Myb,SomNHA3_045,SomNHA4_113
Mitf,SomNHA3_045,NPB3_046
Lmo2,HFB12_037,HFB13_048
Sfpi1,HFB12_037,HFB12_077
HoxB4,HFB12_037,HFA1_098
Sfpi1,HFB12_036,HFB11_144
Hhex,HFB12_036,HFB11_057
Tbx20,HFB12_035,HFB12_029
Gfi1,HFB12_035,PSA1_051
Myb,SomNHA3_043,HFB9_023
Sox17,SomNHA3_043,HFB13_083
Gfi1b,SomNHA3_043,HFB13_018
Mecom,SomNHA3_043,HFB11_090
Ikaros,SomNHA3_043,HFB10_153
Sfpi1,SomNHA3_043,HFB10_035
Lmo2,SomNHA3_043,HFB10_008
HoxB4,SomNHA3_043,NPB7_016
Gfi1b,SomNHA3_048,SomNHA3_120
Etv2,SomNHA3_048,HFB9_064
Erg,SomNHA3_047,SomNHA5_114
Runx1,SomNHA3_047,SomNHA4_144
Sox17,SomNHA3_047,SomNHA4_010
Notch1,PSA2_032,PSB1_033
Mecom,PSA2_032,PSA2_006
Runx1,PSA2_032,PSA1_053
Cbfa2t3h,PSA2_034,HFB9_032
HoxB4,PSA2_034,HFB9_009
Tbx3,PSA2_034,HFB10_098
Sox17,PSA2_034,NPB5_020
Ikaros,PSA2_034,NPA6_058
Myb,PSA2_034,PSB1_062
Myb,HFB12_001,HFB14_007
Mecom,HFB12_001,HFB13_104
Mitf,HFB12_001,NPB5_061
Lmo2,SomNHA3_053,SomNHA5_031
Notch1,SomNHA3_053,SomNHA3_076
Mecom,HFB12_003,SomNHA6_154
Erg,HFB12_003,SomNHA4_199
Runx1,HFB12_003,SomNHA4_031
HoxB4,HFB12_003,SomNHA3_186
Lmo2,HFB12_003,SomNHA3_138
Tbx20,HFB12_003,HFB13_047
Sfpi1,HFB12_003,HFB12_052
Erg,PSA2_038,HFB13_183
Myb,PSA2_038,PSB2_021
Mecom,SomNHA3_055,SomNHA6_062
Tbx20,SomNHA3_055,SomNHA6_032
Etv2,SomNHA3_055,HFB10_035
Gata1,HFB12_004,HFB9_119
HoxB4,HFB12_004,HFB14_001
Gfi1b,HFB12_004,HFB10_014
Tbx3,HFB12_004,NPA7_057
Mecom,PSA2_020,PSB2_007
Hhex,PSA2_023,NPB5_027
Lyl1,PSA2_023,PSA1_093
Ikaros,HFB12_014,HFB10_163
HoxB4,HFB12_014,NPB2_064
Ets1,SomNHA3_064,SomNHA6_114
Lmo2,SomNHA3_064,SomNHA3_166
Myb,SomNHA3_064,HFB13_102
Tbx20,SomNHA3_062,HFB13_142
Tbx3,SomNHA3_060,SomNHA6_034
Tbx20,SomNHA3_060,HFB9_176
HoxB4,SomNHA3_061,SomNHA6_215
Runx1,SomNHA3_061,SomNHA6_052
Etv2,SomNHA3_061,SomNHA3_120
Gfi1b,SomNHA3_061,HFB9_064
Tbx3,SomNHA3_061,HFB13_056
Ikaros,SomNHA3_061,HFB12_115
Lmo2,SomNHA3_061,HFB12_087
Mecom,SomNHA3_061,HFB11_087
Myb,SomNHA3_061,HFA1_042
Cbfa2t3h,SomNHA3_069,SomNHA6_234
Runx1,SomNHA3_069,SomNHA4_084
Myb,SomNHA3_069,SomNHA3_182
HoxB4,SomNHA3_069,HFB9_078
Ikaros,SomNHA3_069,HFB13_186
Mecom,SomNHA3_069,HFB11_054
Tbx20,SomNHA3_069,HFB10_008
Sfpi1,SomNHA3_069,HFA4_013
Erg,NPB8_011,NPA7_021
Meis1,NPB8_011,NPA6_071
Gfi1b,NPB8_012,NPB8_051
Hhex,HFA4_120,PSB3_004
Ikaros,HFA4_122,SomNHA5_011
Myb,HFA4_122,HFB13_192
Gfi1b,HFA4_122,HFB13_178
Sfpi1,HFA4_122,HFB12_078
Runx1,HFA4_122,NPB2_064
Sox17,NPB8_022,HFB12_065
Myb,NPB8_022,HFA1_120
Sfpi1,NPB8_022,NPB4_052
Nfe2,NPB8_022,NPB2_007
Lmo2,NPB8_022,NPA7_038
Lyl1,HFA4_125,SomNHA6_242
Tbx3,HFA4_125,HFB10_095
Ikaros,HFA4_125,HFB10_072
Erg,HFA4_125,HFB10_035
Mitf,HFB11_090,SomNHA6_104
Sox17,HFB11_090,SomNHA6_039
Etv2,HFB11_090,SomNHA4_176
Runx1,HFB11_090,SomNHA4_078
Mecom,HFB11_090,SomNHA3_043
Ikaros,HFB11_090,HFB9_015
Sfpi1,HFB11_090,HFB13_056
Myb,HFB11_090,HFA4_073
Nfe2,HFB11_090,NPB3_032
HoxB4,HFB11_090,NPA7_012
Lmo2,HFB11_090,NPA6_048
HoxB4,HFB11_091,HFB14_032
Myb,HFB11_091,HFB12_115
