Gene,StateA,StateB
EgrNab,c27,c55
Cebpa,c27,c137
Fli1,c28,c8
Gfi1,c28,c24
cJun,c28,c29
Scl,c28,c30
Gata2,c28,c36
Cebpa,c28,c138
Fli1,c29,c9
Gfi1,c29,c25
cJun,c29,c28
Scl,c29,c31
Gata2,c29,c37
Cebpa,c29,c139
Fli1,c30,c10
Gfi1,c30,c26
Scl,c30,c28
cJun,c30,c31
Gata2,c30,c38
Cebpa,c30,c140
Fli1,c31,c11
Gfi1,c31,c27
Scl,c31,c29
cJun,c31,c30
Gata2,c31,c39
Cebpa,c31,c141
Fli1,c32,c12
Gata2,c32,c24
cJun,c32,c33
Scl,c32,c34
Gfi1,c32,c36
EgrNab,c32,c56
Cebpa,c32,c142
Fli1,c33,c13
Gata2,c33,c25
cJun,c33,c32
Scl,c33,c35
Gfi1,c33,c37
EgrNab,c33,c57
Cebpa,c33,c143
Fli1,c34,c14
Fog1,c34,c20
Gata2,c34,c26
Scl,c34,c32
cJun,c34,c35
Gfi1,c34,c38
EgrNab,c34,c58
Cebpa,c34,c144
Fli1,c35,c15
Fog1,c35,c21
Gata2,c35,c27
Scl,c35,c33
cJun,c35,c34
Gfi1,c35,c39
EgrNab,c35,c59
Cebpa,c35,c145
Fli1,c36,c16
Gata2,c36,c28
Gfi1,c36,c32
cJun,c36,c37
Scl,c36,c38
Cebpa,c36,c146
Fli1,c37,c17
Gata2,c37,c29
Gfi1,c37,c33
cJun,c37,c36
Scl,c37,c39
Cebpa,c37,c147
Fli1,c38,c18
Fog1,c38,c22
Gata2,c38,c30
Gfi1,c38,c34
Scl,c38,c36
cJun,c38,c39
Cebpa,c38,c148
Fli1,c39,c19
Fog1,c39,c23
Gata2,c39,c31
Gfi1,c39,c35
Scl,c39,c37
cJun,c39,c38
Cebpa,c39,c149
EgrNab,c40,c0
cJun,c40,c41
Fog1,c40,c48
Fli1,c40,c50
EKLF,c40,c80
Cebpa,c40,c156
EgrNab,c41,c1
cJun,c41,c40
Fog1,c41,c49
Fli1,c41,c51
EKLF,c41,c81
Cebpa,c41,c157
EgrNab,c42,c4
cJun,c42,c43
Scl,c42,c44
Gata2,c42,c46
Fli1,c42,c52
EKLF,c42,c82
Cebpa,c42,c158
EgrNab,c43,c5
cJun,c43,c42
Scl,c43,c45
Gata2,c43,c47
Fli1,c43,c53
EKLF,c43,c83
Cebpa,c43,c159
EgrNab,c44,c6
Scl,c44,c42
cJun,c44,c45
Gata2,c44,c48
Fli1,c44,c54
EKLF,c44,c84
Cebpa,c44,c160
EgrNab,c45,c7
Scl,c45,c43
cJun,c45,c44
Gata2,c45,c49
Fli1,c45,c55
EKLF,c45,c85
Cebpa,c45,c161
EgrNab,c46,c12
Gata2,c46,c42
cJun,c46,c47
Scl,c46,c48
Fli1,c46,c56
EKLF,c46,c86
Cebpa,c46,c162
EgrNab,c47,c13
Gata2,c47,c43
cJun,c47,c46
Scl,c47,c49
Fli1,c47,c57
EKLF,c47,c87
Cebpa,c47,c163
EgrNab,c48,c14
Fog1,c48,c40
Gata2,c48,c44
Scl,c48,c46
cJun,c48,c49
Fli1,c48,c58
EKLF,c48,c88
Cebpa,c48,c164
EgrNab,c49,c15
Fog1,c49,c41
Gata2,c49,c45
Scl,c49,c47
cJun,c49,c48
Fli1,c49,c59
EKLF,c49,c89
Cebpa,c49,c165
EgrNab,c50,c20
Fli1,c50,c40
cJun,c50,c51
Fog1,c50,c58
Cebpa,c50,c168
EgrNab,c51,c21
Fli1,c51,c41
cJun,c51,c50
Fog1,c51,c59
Cebpa,c51,c169
EgrNab,c52,c24
Fli1,c52,c42
cJun,c52,c53
Scl,c52,c54
Gata2,c52,c56
Cebpa,c52,c170
EgrNab,c53,c25
Fli1,c53,c43
cJun,c53,c52
Scl,c53,c55
Gata2,c53,c57
Cebpa,c53,c171
EgrNab,c54,c26
Fli1,c54,c44
Scl,c54,c52
cJun,c54,c55
Gata2,c54,c58
Cebpa,c54,c172
EgrNab,c55,c27
Fli1,c55,c45
Scl,c55,c53
cJun,c55,c54
Gata2,c55,c59
Cebpa,c55,c173
EgrNab,c56,c32
Fli1,c56,c46
Gata2,c56,c52
cJun,c56,c57
Scl,c56,c58
Cebpa,c56,c174
EgrNab,c57,c33
Fli1,c57,c47
Gata2,c57,c53
cJun,c57,c56
Scl,c57,c59
Cebpa,c57,c175
EgrNab,c58,c34
Fli1,c58,c48
Fog1,c58,c50
Gata2,c58,c54
Scl,c58,c56
cJun,c58,c59
Cebpa,c58,c176
EgrNab,c59,c35
Fli1,c59,c49
Fog1,c59,c51
Gata2,c59,c55
Scl,c59,c57
cJun,c59,c58
Cebpa,c59,c177
EKLF,c60,c0
cJun,c60,c61
Gfi1,c60,c62
Fog1,c60,c74
EgrNab,c60,c80
Cebpa,c60,c180
EKLF,c61,c1
cJun,c61,c60
Gfi1,c61,c63
Fog1,c61,c75
EgrNab,c61,c81
Cebpa,c61,c181
EKLF,c62,c2
Gfi1,c62,c60
cJun,c62,c63
Fog1,c62,c78
Cebpa,c62,c184
EKLF,c63,c3
Gfi1,c63,c61
cJun,c63,c62
Fog1,c63,c79
Cebpa,c63,c185
EKLF,c64,c4
cJun,c64,c65
Scl,c64,c66
Gfi1,c64,c68
Gata2,c64,c72
EgrNab,c64,c82
Cebpa,c64,c186
EKLF,c65,c5
cJun,c65,c64
Scl,c65,c67
Gfi1,c65,c69
Gata2,c65,c73
EgrNab,c65,c83
Cebpa,c65,c187
EKLF,c66,c6
Scl,c66,c64
cJun,c66,c67
Gfi1,c66,c70
Gata2,c66,c74
EgrNab,c66,c84
Cebpa,c66,c188
EKLF,c67,c7
Scl,c67,c65
cJun,c67,c66
Gfi1,c67,c71
Gata2,c67,c75
EgrNab,c67,c85
Cebpa,c67,c189
EKLF,c68,c8
Gfi1,c68,c64
cJun,c68,c69
Scl,c68,c70
Gata2,c68,c76
Cebpa,c68,c190
EKLF,c69,c9
Gfi1,c69,c65
cJun,c69,c68
Scl,c69,c71
Gata2,c69,c77
Cebpa,c69,c191
EKLF,c70,c10
Gfi1,c70,c66
Scl,c70,c68
cJun,c70,c71
Gata2,c70,c78
Cebpa,c70,c192
EKLF,c71,c11
Gfi1,c71,c67
Scl,c71,c69
cJun,c71,c70
Gata2,c71,c79
Cebpa,c71,c193
EKLF,c72,c12
Gata2,c72,c64
cJun,c72,c73
Scl,c72,c74
Gfi1,c72,c76
EgrNab,c72,c86
Cebpa,c72,c194
EKLF,c73,c13
Gata2,c73,c65
cJun,c73,c72
Scl,c73,c75
Gfi1,c73,c77
EgrNab,c73,c87
Cebpa,c73,c195
EKLF,c74,c14
Fog1,c74,c60
Gata2,c74,c66
Scl,c74,c72
cJun,c74,c75
Gfi1,c74,c78
EgrNab,c74,c88
Cebpa,c74,c196
EKLF,c75,c15
Fog1,c75,c61
Gata2,c75,c67
Scl,c75,c73
cJun,c75,c74
Gfi1,c75,c79
EgrNab,c75,c89
Cebpa,c75,c197
EKLF,c76,c16
Gata2,c76,c68
Gfi1,c76,c72
cJun,c76,c77
Scl,c76,c78
Cebpa,c76,c198
EKLF,c77,c17
Gata2,c77,c69
Gfi1,c77,c73
cJun,c77,c76
Scl,c77,c79
Cebpa,c77,c199
EKLF,c78,c18
Fog1,c78,c62
Gata2,c78,c70
Gfi1,c78,c74
Scl,c78,c76
cJun,c78,c79
Cebpa,c78,c200
EKLF,c79,c19
Fog1,c79,c63
Gata2,c79,c71
Gfi1,c79,c75
Scl,c79,c77
cJun,c79,c78
Cebpa,c79,c201
EKLF,c80,c40
EgrNab,c80,c60
cJun,c80,c81
Fog1,c80,c88
Cebpa,c80,c204
EKLF,c81,c41
EgrNab,c81,c61
cJun,c81,c80
Fog1,c81,c89
Cebpa,c81,c205
EKLF,c82,c42
EgrNab,c82,c64
cJun,c82,c83
Scl,c82,c84
Gata2,c82,c86
Cebpa,c82,c206
EKLF,c83,c43
EgrNab,c83,c65
cJun,c83,c82
Scl,c83,c85
Gata2,c83,c87
Cebpa,c83,c207
EKLF,c84,c44
EgrNab,c84,c66
Scl,c84,c82
cJun,c84,c85
Gata2,c84,c88
Cebpa,c84,c208
EKLF,c85,c45
EgrNab,c85,c67
Scl,c85,c83
cJun,c85,c84
Gata2,c85,c89
Cebpa,c85,c209
EKLF,c86,c46
EgrNab,c86,c72
Gata2,c86,c82
cJun,c86,c87
Scl,c86,c88
Cebpa,c86,c210
EKLF,c87,c47
EgrNab,c87,c73
Gata2,c87,c83
cJun,c87,c86
Scl,c87,c89
Cebpa,c87,c211
EKLF,c88,c48
EgrNab,c88,c74
Fog1,c88,c80
Gata2,c88,c84
Scl,c88,c86
cJun,c88,c89
Cebpa,c88,c212
EKLF,c89,c49
EgrNab,c89,c75
Fog1,c89,c81
Gata2,c89,c85
Scl,c89,c87
cJun,c89,c88
Cebpa,c89,c213
cJun,c90,c91
Gfi1,c90,c92
Gata2,c90,c96
cJun,c91,c90
Gfi1,c91,c93
Gata2,c91,c97
EgrNab,c91,c150
Gfi1,c92,c90
cJun,c92,c93
Gata2,c92,c100
Gfi1,c93,c91
cJun,c93,c92
Gata2,c93,c101
cJun,c94,c95
Pu.1,c94,c96
Gfi1,c94,c98
Gata1,c94,c102
EgrNab,c94,c151
cJun,c95,c94
Pu.1,c95,c97
Gfi1,c95,c99
Gata1,c95,c103
EgrNab,c95,c152
Gata2,c96,c90
Pu.1,c96,c94
cJun,c96,c97
Gfi1,c96,c100
Gata2,c97,c91
Pu.1,c97,c95
cJun,c97,c96
Gfi1,c97,c101
EgrNab,c97,c153
Gfi1,c98,c94
cJun,c98,c99
Pu.1,c98,c100
Gata1,c98,c106
Gfi1,c99,c95
cJun,c99,c98
Pu.1,c99,c101
Gata1,c99,c107
Gata2,c100,c92
Gfi1,c100,c96
Pu.1,c100,c98
cJun,c100,c101
Gata2,c101,c93
Gfi1,c101,c97
Pu.1,c101,c99
cJun,c101,c100
Gata1,c102,c94
cJun,c102,c103
Scl,c102,c104
Gfi1,c102,c106
Fog1,c102,c118
Fli1,c102,c126
EgrNab,c102,c154
EKLF,c102,c178
Gata1,c103,c95
cJun,c103,c102
Scl,c103,c105
Gfi1,c103,c107
Fog1,c103,c119
Fli1,c103,c127
EgrNab,c103,c155
EKLF,c103,c179
Cebpa,c104,c0
Scl,c104,c102
cJun,c104,c105
Gfi1,c104,c108
Fog1,c104,c120
Fli1,c104,c128
EgrNab,c104,c156
EKLF,c104,c180
Cebpa,c105,c1
Scl,c105,c103
cJun,c105,c104
Gfi1,c105,c109
Fog1,c105,c121
Fli1,c105,c129
EgrNab,c105,c157
EKLF,c105,c181
Gata1,c106,c98
Gfi1,c106,c102
cJun,c106,c107
Scl,c106,c108
Fog1,c106,c122
Fli1,c106,c130
EKLF,c106,c182
Gata1,c107,c99
Gfi1,c107,c103
cJun,c107,c106
Scl,c107,c109
Fog1,c107,c123
Fli1,c107,c131
EKLF,c107,c183
Cebpa,c108,c2
Gfi1,c108,c104
Scl,c108,c106
cJun,c108,c109
Fog1,c108,c124
Fli1,c108,c132
EKLF,c108,c184
Cebpa,c109,c3
Gfi1,c109,c105
Scl,c109,c107
cJun,c109,c108
Fog1,c109,c125
Fli1,c109,c133
EKLF,c109,c185
Cebpa,c110,c4
cJun,c110,c111
Scl,c110,c112
Gfi1,c110,c114
Gata2,c110,c118
Fli1,c110,c134
EgrNab,c110,c158
EKLF,c110,c186
Cebpa,c111,c5
cJun,c111,c110
Scl,c111,c113
Gfi1,c111,c115
Gata2,c111,c119
Fli1,c111,c135
EgrNab,c111,c159
EKLF,c111,c187
Cebpa,c112,c6
Scl,c112,c110
cJun,c112,c113
Gfi1,c112,c116
Gata2,c112,c120
Fli1,c112,c136
EgrNab,c112,c160
EKLF,c112,c188
Cebpa,c113,c7
Scl,c113,c111
cJun,c113,c112
Gfi1,c113,c117
Gata2,c113,c121
Fli1,c113,c137
EgrNab,c113,c161
EKLF,c113,c189
Cebpa,c114,c8
Gfi1,c114,c110
cJun,c114,c115
Scl,c114,c116
Gata2,c114,c122
Fli1,c114,c138
EKLF,c114,c190
Cebpa,c115,c9
Gfi1,c115,c111
cJun,c115,c114
Scl,c115,c117
Gata2,c115,c123
Fli1,c115,c139
EKLF,c115,c191
Cebpa,c116,c10
Gfi1,c116,c112
Scl,c116,c114
cJun,c116,c117
Gata2,c116,c124
Fli1,c116,c140
EKLF,c116,c192
Cebpa,c117,c11
Gfi1,c117,c113
Scl,c117,c115
cJun,c117,c116
Gata2,c117,c125
Fli1,c117,c141
EKLF,c117,c193
Cebpa,c118,c12
Fog1,c118,c102
Gata2,c118,c110
cJun,c118,c119
Scl,c118,c120
Gfi1,c118,c122
Fli1,c118,c142
EgrNab,c118,c162
EKLF,c118,c194
Cebpa,c119,c13
Fog1,c119,c103
Gata2,c119,c111
cJun,c119,c118
Scl,c119,c121
Gfi1,c119,c123
Fli1,c119,c143
EgrNab,c119,c163
EKLF,c119,c195
Cebpa,c120,c14
Fog1,c120,c104
Gata2,c120,c112
Scl,c120,c118
cJun,c120,c121
Gfi1,c120,c124
Fli1,c120,c144
EgrNab,c120,c164
EKLF,c120,c196
Cebpa,c121,c15
Fog1,c121,c105
Gata2,c121,c113
Scl,c121,c119
cJun,c121,c120
Gfi1,c121,c125
Fli1,c121,c145
EgrNab,c121,c165
EKLF,c121,c197
Cebpa,c122,c16
Fog1,c122,c106
Gata2,c122,c114
Gfi1,c122,c118
cJun,c122,c123
Scl,c122,c124
Fli1,c122,c146
EKLF,c122,c198
Cebpa,c123,c17
Fog1,c123,c107
Gata2,c123,c115
Gfi1,c123,c119
cJun,c123,c122
Scl,c123,c125
Fli1,c123,c147
EKLF,c123,c199
Cebpa,c124,c18
Fog1,c124,c108
Gata2,c124,c116
Gfi1,c124,c120
Scl,c124,c122
cJun,c124,c125
Fli1,c124,c148
EKLF,c124,c200
Cebpa,c125,c19
Fog1,c125,c109
Gata2,c125,c117
Gfi1,c125,c121
Scl,c125,c123
cJun,c125,c124
Fli1,c125,c149
EKLF,c125,c201
Fli1,c126,c102
cJun,c126,c127
Scl,c126,c128
Gfi1,c126,c130
Fog1,c126,c142
EgrNab,c126,c166
Fli1,c127,c103
cJun,c127,c126
Scl,c127,c129
Gfi1,c127,c131
Fog1,c127,c143
EgrNab,c127,c167
Cebpa,c128,c20
Fli1,c128,c104
Scl,c128,c126
cJun,c128,c129
Gfi1,c128,c132
Fog1,c128,c144
EgrNab,c128,c168
Cebpa,c129,c21
Fli1,c129,c105
Scl,c129,c127
cJun,c129,c128
Gfi1,c129,c133
Fog1,c129,c145
EgrNab,c129,c169
Fli1,c130,c106
Gfi1,c130,c126
cJun,c130,c131
Scl,c130,c132
Fog1,c130,c146
Fli1,c131,c107
Gfi1,c131,c127
cJun,c131,c130
Scl,c131,c133
Fog1,c131,c147
Cebpa,c132,c22
Fli1,c132,c108
Gfi1,c132,c128
Scl,c132,c130
cJun,c132,c133
Fog1,c132,c148
Cebpa,c133,c23
Fli1,c133,c109
Gfi1,c133,c129
Scl,c133,c131
cJun,c133,c132
Fog1,c133,c149
Cebpa,c134,c24
Fli1,c134,c110
cJun,c134,c135
Scl,c134,c136
Gfi1,c134,c138
Gata2,c134,c142
EgrNab,c134,c170
Cebpa,c135,c25
Fli1,c135,c111
cJun,c135,c134
Scl,c135,c137
Gfi1,c135,c139
Gata2,c135,c143
EgrNab,c135,c171
Cebpa,c136,c26
Fli1,c136,c112
Scl,c136,c134
cJun,c136,c137
Gfi1,c136,c140
Gata2,c136,c144
EgrNab,c136,c172
Cebpa,c137,c27
Fli1,c137,c113
Scl,c137,c135
cJun,c137,c136
Gfi1,c137,c141
Gata2,c137,c145
EgrNab,c137,c173
Cebpa,c138,c28
Fli1,c138,c114
Gfi1,c138,c134
cJun,c138,c139
Scl,c138,c140
Gata2,c138,c146
Cebpa,c139,c29
Fli1,c139,c115
Gfi1,c139,c135
cJun,c139,c138
Scl,c139,c141
Gata2,c139,c147
Cebpa,c140,c30
Fli1,c140,c116
Gfi1,c140,c136
Scl,c140,c138
cJun,c140,c141
Gata2,c140,c148
Cebpa,c141,c31
Fli1,c141,c117
Gfi1,c141,c137
Scl,c141,c139
cJun,c141,c140
Gata2,c141,c149
Cebpa,c142,c32
Fli1,c142,c118
Fog1,c142,c126
Gata2,c142,c134
cJun,c142,c143
Scl,c142,c144
Gfi1,c142,c146
EgrNab,c142,c174
Cebpa,c143,c33
Fli1,c143,c119
Fog1,c143,c127
Gata2,c143,c135
cJun,c143,c142
Scl,c143,c145
Gfi1,c143,c147
EgrNab,c143,c175
Cebpa,c144,c34
Fli1,c144,c120
Fog1,c144,c128
Gata2,c144,c136
Scl,c144,c142
cJun,c144,c145
Gfi1,c144,c148
EgrNab,c144,c176
Cebpa,c145,c35
Fli1,c145,c121
Fog1,c145,c129
Gata2,c145,c137
Scl,c145,c143
cJun,c145,c144
Gfi1,c145,c149
EgrNab,c145,c177
Cebpa,c146,c36
Fli1,c146,c122
Fog1,c146,c130
Gata2,c146,c138
Gfi1,c146,c142
cJun,c146,c147
Scl,c146,c148
Cebpa,c147,c37
Fli1,c147,c123
Fog1,c147,c131
Gata2,c147,c139
Gfi1,c147,c143
cJun,c147,c146
Scl,c147,c149
Cebpa,c148,c38
Fli1,c148,c124
Fog1,c148,c132
Gata2,c148,c140
Gfi1,c148,c144
Scl,c148,c146
cJun,c148,c149
Cebpa,c149,c39
Fli1,c149,c125
Fog1,c149,c133
Gata2,c149,c141
Gfi1,c149,c145
Scl,c149,c147
cJun,c149,c148
EgrNab,c150,c91
Gata2,c150,c153
EgrNab,c151,c94
cJun,c151,c152
Gata1,c151,c154
EgrNab,c152,c95
cJun,c152,c151
Pu.1,c152,c153
Gata1,c152,c155
EgrNab,c153,c97
Gata2,c153,c150
Pu.1,c153,c152
EgrNab,c154,c102
Gata1,c154,c151
cJun,c154,c155
Scl,c154,c156
Fog1,c154,c162
Fli1,c154,c166
EKLF,c154,c202
EgrNab,c155,c103
Gata1,c155,c152
cJun,c155,c154
Scl,c155,c157
Fog1,c155,c163
Fli1,c155,c167
EKLF,c155,c203
Cebpa,c156,c40
EgrNab,c156,c104
Scl,c156,c154
cJun,c156,c157
Fog1,c156,c164
Fli1,c156,c168
EKLF,c156,c204
Cebpa,c157,c41
EgrNab,c157,c105
Scl,c157,c155
cJun,c157,c156
Fog1,c157,c165
Fli1,c157,c169
EKLF,c157,c205
Cebpa,c158,c42
EgrNab,c158,c110
cJun,c158,c159
Scl,c158,c160
Gata2,c158,c162
Fli1,c158,c170
EKLF,c158,c206
Cebpa,c159,c43
EgrNab,c159,c111
cJun,c159,c158
Scl,c159,c161
Gata2,c159,c163
Fli1,c159,c171
EKLF,c159,c207
Cebpa,c160,c44
EgrNab,c160,c112
Scl,c160,c158
cJun,c160,c161
Gata2,c160,c164
Fli1,c160,c172
EKLF,c160,c208
Cebpa,c161,c45
EgrNab,c161,c113
Scl,c161,c159
cJun,c161,c160
Gata2,c161,c165
Fli1,c161,c173
EKLF,c161,c209
Cebpa,c162,c46
EgrNab,c162,c118
Fog1,c162,c154
Gata2,c162,c158
cJun,c162,c163
Scl,c162,c164
Fli1,c162,c174
EKLF,c162,c210
Cebpa,c163,c47
EgrNab,c163,c119
Fog1,c163,c155
Gata2,c163,c159
cJun,c163,c162
Scl,c163,c165
Fli1,c163,c175
EKLF,c163,c211
Cebpa,c164,c48
EgrNab,c164,c120
Fog1,c164,c156
Gata2,c164,c160
Scl,c164,c162
cJun,c164,c165
Fli1,c164,c176
EKLF,c164,c212
Cebpa,c165,c49
EgrNab,c165,c121
Fog1,c165,c157
Gata2,c165,c161
Scl,c165,c163
cJun,c165,c164
Fli1,c165,c177
EKLF,c165,c213
EgrNab,c166,c126
Fli1,c166,c154
cJun,c166,c167
Scl,c166,c168
Fog1,c166,c174
EgrNab,c167,c127
Fli1,c167,c155
cJun,c167,c166
Scl,c167,c169
Fog1,c167,c175
Cebpa,c168,c50
EgrNab,c168,c128
Fli1,c168,c156
Scl,c168,c166
cJun,c168,c169
Fog1,c168,c176
Cebpa,c169,c51
EgrNab,c169,c129
Fli1,c169,c157
Scl,c169,c167
cJun,c169,c168
Fog1,c169,c177
Cebpa,c170,c52
EgrNab,c170,c134
Fli1,c170,c158
cJun,c170,c171
Scl,c170,c172
Gata2,c170,c174
Cebpa,c171,c53
EgrNab,c171,c135
Fli1,c171,c159
cJun,c171,c170
Scl,c171,c173
Gata2,c171,c175
Cebpa,c172,c54
EgrNab,c172,c136
Fli1,c172,c160
Scl,c172,c170
cJun,c172,c173
Gata2,c172,c176
Cebpa,c173,c55
EgrNab,c173,c137
Fli1,c173,c161
Scl,c173,c171
cJun,c173,c172
Gata2,c173,c177
Cebpa,c174,c56
EgrNab,c174,c142
Fli1,c174,c162
Fog1,c174,c166
Gata2,c174,c170
cJun,c174,c175
Scl,c174,c176
Cebpa,c175,c57
EgrNab,c175,c143
Fli1,c175,c163
Fog1,c175,c167
Gata2,c175,c171
cJun,c175,c174
Scl,c175,c177
Cebpa,c176,c58
EgrNab,c176,c144
Fli1,c176,c164
Fog1,c176,c168
Gata2,c176,c172
Scl,c176,c174
cJun,c176,c177
Cebpa,c177,c59
EgrNab,c177,c145
Fli1,c177,c165
Fog1,c177,c169
Gata2,c177,c173
Scl,c177,c175
cJun,c177,c176
EKLF,c178,c102
cJun,c178,c179
Scl,c178,c180
Gfi1,c178,c182
Fog1,c178,c194
EgrNab,c178,c202
EKLF,c179,c103
cJun,c179,c178
Scl,c179,c181
Gfi1,c179,c183
Fog1,c179,c195
EgrNab,c179,c203
Cebpa,c180,c60
EKLF,c180,c104
Scl,c180,c178
cJun,c180,c181
Gfi1,c180,c184
Fog1,c180,c196
EgrNab,c180,c204
Cebpa,c181,c61
EKLF,c181,c105
Scl,c181,c179
cJun,c181,c180
Gfi1,c181,c185
Fog1,c181,c197
EgrNab,c181,c205
EKLF,c182,c106
Gfi1,c182,c178
cJun,c182,c183
Scl,c182,c184
Fog1,c182,c198
EKLF,c183,c107
Gfi1,c183,c179
cJun,c183,c182
Scl,c183,c185
Fog1,c183,c199
Cebpa,c184,c62
EKLF,c184,c108
Gfi1,c184,c180
Scl,c184,c182
cJun,c184,c185
Fog1,c184,c200
Cebpa,c185,c63
EKLF,c185,c109
Gfi1,c185,c181
Scl,c185,c183
cJun,c185,c184
Fog1,c185,c201
Cebpa,c186,c64
EKLF,c186,c110
cJun,c186,c187
Scl,c186,c188
Gfi1,c186,c190
Gata2,c186,c194
EgrNab,c186,c206
Cebpa,c187,c65
EKLF,c187,c111
cJun,c187,c186
Scl,c187,c189
Gfi1,c187,c191
Gata2,c187,c195
EgrNab,c187,c207
Cebpa,c188,c66
EKLF,c188,c112
Scl,c188,c186
cJun,c188,c189
Gfi1,c188,c192
Gata2,c188,c196
EgrNab,c188,c208
Cebpa,c189,c67
EKLF,c189,c113
Scl,c189,c187
cJun,c189,c188
Gfi1,c189,c193
Gata2,c189,c197
EgrNab,c189,c209
Cebpa,c190,c68
EKLF,c190,c114
Gfi1,c190,c186
cJun,c190,c191
Scl,c190,c192
Gata2,c190,c198
Cebpa,c191,c69
EKLF,c191,c115
Gfi1,c191,c187
cJun,c191,c190
Scl,c191,c193
Gata2,c191,c199
Cebpa,c192,c70
EKLF,c192,c116
Gfi1,c192,c188
Scl,c192,c190
cJun,c192,c193
