Gene,StateA,StateB
cJun,c0,c1
Gfi1,c0,c2
Fog1,c0,c14
Fli1,c0,c20
EgrNab,c0,c40
EKLF,c0,c60
Cebpa,c0,c104
cJun,c1,c0
Gfi1,c1,c3
Fog1,c1,c15
Fli1,c1,c21
EgrNab,c1,c41
EKLF,c1,c61
Cebpa,c1,c105
Gfi1,c2,c0
cJun,c2,c3
Fog1,c2,c18
Fli1,c2,c22
EKLF,c2,c62
Cebpa,c2,c108
Gfi1,c3,c1
cJun,c3,c2
Fog1,c3,c19
Fli1,c3,c23
EKLF,c3,c63
Cebpa,c3,c109
cJun,c4,c5
Scl,c4,c6
Gfi1,c4,c8
Gata2,c4,c12
Fli1,c4,c24
EgrNab,c4,c42
EKLF,c4,c64
Cebpa,c4,c110
cJun,c5,c4
Scl,c5,c7
Gfi1,c5,c9
Gata2,c5,c13
Fli1,c5,c25
EgrNab,c5,c43
EKLF,c5,c65
Cebpa,c5,c111
Scl,c6,c4
cJun,c6,c7
Gfi1,c6,c10
Gata2,c6,c14
Fli1,c6,c26
EgrNab,c6,c44
EKLF,c6,c66
Cebpa,c6,c112
Scl,c7,c5
cJun,c7,c6
Gfi1,c7,c11
Gata2,c7,c15
Fli1,c7,c27
EgrNab,c7,c45
EKLF,c7,c67
Cebpa,c7,c113
Gfi1,c8,c4
cJun,c8,c9
Scl,c8,c10
Gata2,c8,c16
Fli1,c8,c28
EKLF,c8,c68
Cebpa,c8,c114
Gfi1,c9,c5
cJun,c9,c8
Scl,c9,c11
Gata2,c9,c17
Fli1,c9,c29
EKLF,c9,c69
Cebpa,c9,c115
Gfi1,c10,c6
Scl,c10,c8
cJun,c10,c11
Gata2,c10,c18
Fli1,c10,c30
EKLF,c10,c70
Cebpa,c10,c116
Gfi1,c11,c7
Scl,c11,c9
cJun,c11,c10
Gata2,c11,c19
Fli1,c11,c31
EKLF,c11,c71
Cebpa,c11,c117
Gata2,c12,c4
cJun,c12,c13
Scl,c12,c14
Gfi1,c12,c16
Fli1,c12,c32
EgrNab,c12,c46
EKLF,c12,c72
Cebpa,c12,c118
Gata2,c13,c5
cJun,c13,c12
Scl,c13,c15
Gfi1,c13,c17
Fli1,c13,c33
EgrNab,c13,c47
EKLF,c13,c73
Cebpa,c13,c119
Fog1,c14,c0
Gata2,c14,c6
Scl,c14,c12
cJun,c14,c15
Gfi1,c14,c18
Fli1,c14,c34
EgrNab,c14,c48
EKLF,c14,c74
Cebpa,c14,c120
Fog1,c15,c1
Gata2,c15,c7
Scl,c15,c13
cJun,c15,c14
Gfi1,c15,c19
Fli1,c15,c35
EgrNab,c15,c49
EKLF,c15,c75
Cebpa,c15,c121
Gata2,c16,c8
Gfi1,c16,c12
cJun,c16,c17
Scl,c16,c18
Fli1,c16,c36
EKLF,c16,c76
Cebpa,c16,c122
Gata2,c17,c9
Gfi1,c17,c13
cJun,c17,c16
Scl,c17,c19
Fli1,c17,c37
EKLF,c17,c77
Cebpa,c17,c123
Fog1,c18,c2
Gata2,c18,c10
Gfi1,c18,c14
Scl,c18,c16
cJun,c18,c19
Fli1,c18,c38
EKLF,c18,c78
Cebpa,c18,c124
Fog1,c19,c3
Gata2,c19,c11
Gfi1,c19,c15
Scl,c19,c17
cJun,c19,c18
Fli1,c19,c39
EKLF,c19,c79
Cebpa,c19,c125
Fli1,c20,c0
cJun,c20,c21
Gfi1,c20,c22
Fog1,c20,c34
EgrNab,c20,c50
Cebpa,c20,c128
Fli1,c21,c1
cJun,c21,c20
Gfi1,c21,c23
Fog1,c21,c35
EgrNab,c21,c51
Cebpa,c21,c129
Fli1,c22,c2
Gfi1,c22,c20
cJun,c22,c23
Fog1,c22,c38
Cebpa,c22,c132
Fli1,c23,c3
Gfi1,c23,c21
cJun,c23,c22
Fog1,c23,c39
Cebpa,c23,c133
Fli1,c24,c4
cJun,c24,c25
Scl,c24,c26
Gfi1,c24,c28
Gata2,c24,c32
EgrNab,c24,c52
Cebpa,c24,c134
Fli1,c25,c5
cJun,c25,c24
Scl,c25,c27
Gfi1,c25,c29
Gata2,c25,c33
EgrNab,c25,c53
Cebpa,c25,c135
Fli1,c26,c6
Scl,c26,c24
cJun,c26,c27
Gfi1,c26,c30
Gata2,c26,c34
EgrNab,c26,c54
Cebpa,c26,c136
Fli1,c27,c7
Scl,c27,c25
cJun,c27,c26
Gfi1,c27,c31
Gata2,c27,c35
