"PartitionKey","RowKey","LogInTime","LogOutTime","RunProofCount","RunSimulationCount","NewModelCount","ImportModelCount","SaveModelCount","FurtherTestingCount","ClientVersion","SimulationErrorCount","FurtherTestingErrorCount","ProofErrorCount"
0051b96a-a154-424b-8f0b-4b5b84deb92d,230784fc-9f9b-4f8d-b5c2-fc4f998e8464,12.02.2015 13:50:30,12.02.2015 13:51:03,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
0051b96a-a154-424b-8f0b-4b5b84deb92d,530dfcf2-4ef4-4022-96b5-1be990be2cfb,12.02.2015 13:57:38,12.02.2015 14:01:11,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
013ff307-f693-49a5-ae8c-58328ed36fa0,7d9bc267-7d67-4fd1-938e-be4e89ab5eef,10.04.2015 6:59:32,10.04.2015 7:01:53,1,1,0,0,0,0,BMA HTML5 2.0,0,0,0
013ff307-f693-49a5-ae8c-58328ed36fa0,d4bf197b-0b70-4afd-8927-c0b40472c618,10.04.2015 6:40:20,10.04.2015 6:43:04,1,1,0,0,0,1,BMA HTML5 2.0,0,0,0
01ab742e-872a-47cb-a695-03cd6bd5c0e8,4aa61698-2760-4dce-9dad-42ce3da77060,22.09.2015 10:30:25,22.09.2015 10:30:29,0,0,0,0,0,0,BMA HTML5 1.2.0072,0,0,0
020f3e7d-d9fc-4288-9e73-86dadd525b6b,74e19c32-b1cb-4ec9-807e-0ea012cc3c2d,04.05.2015 18:03:29,04.05.2015 18:03:40,1,0,0,0,0,0,BMA HTML5 2.0,0,0,0
020f3e7d-d9fc-4288-9e73-86dadd525b6b,ad7e8ef3-fac4-46a5-9cbc-56894ec310e2,26.04.2015 17:23:46,04.05.2015 18:03:20,1,0,0,0,0,0,BMA HTML5 2.0,0,0,0
020f3e7d-d9fc-4288-9e73-86dadd525b6b,d0108da1-2dfa-4c0b-9aac-344580180be4,26.04.2015 17:22:39,26.04.2015 17:23:45,1,0,0,0,0,0,BMA HTML5 2.0,0,0,0
02204363-5915-42bc-b1ea-f248fda99391,00c5f906-4eae-40f7-909f-121a026a21fe,23.04.2015 6:44:49,23.04.2015 6:45:24,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
02421d24-01f7-4f81-9ccf-37c7473b2689,3afbbf77-8e8e-4c89-aae4-d305a3085d5d,17.02.2015 17:32:39,17.02.2015 17:33:17,0,0,0,1,0,0,BMA HTML5 2.0,0,0,0
02871f73-ec35-4bd3-9060-e6668fbfc422,6bc86b17-b822-4b0a-b259-8422cbd2c97a,12.02.2015 11:10:56,12.02.2015 11:11:20,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
02871f73-ec35-4bd3-9060-e6668fbfc422,8a935022-374a-4569-a69f-fc9e7e7a916c,12.02.2015 11:10:50,12.02.2015 11:10:51,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
02cc9b66-7931-4ec7-86d6-e2ae20805dd4,1f08b13c-b558-4fdd-ad91-773e97a0abbf,09.07.2015 13:06:01,09.07.2015 13:08:53,2,4,1,0,0,0,BMA HTML5 2.0,0,0,0
02cc9b66-7931-4ec7-86d6-e2ae20805dd4,625b9ea8-27f8-44e0-8605-8dc11b17a55e,10.07.2015 12:37:43,10.07.2015 14:53:41,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
02cc9b66-7931-4ec7-86d6-e2ae20805dd4,cc78df71-99ab-43a5-81a0-ddd9caa1081a,09.07.2015 13:04:05,09.07.2015 13:05:32,1,2,1,0,0,0,BMA HTML5 2.0,0,0,0
0395aa8b-1f7f-4260-a668-8300c2dddaac,6a034a57-0442-47a9-8bc3-5e5fed86f2ab,03.02.2015 11:20:13,03.02.2015 11:31:55,0,0,0,0,0,0,BMA HTML5 2.0,"","",""
0471b17f-af39-424c-858c-691a86effa7e,9b95d087-91ad-4983-bbf0-cd027348447e,04.05.2015 23:53:22,04.05.2015 23:53:29,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
052a0988-e940-41d3-8f62-0f959fd7f19b,ece5e840-4800-4e04-8889-8391dffe20a7,23.04.2015 18:36:17,23.04.2015 18:36:21,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
062e4fa9-b068-460f-b7c2-54b21a7a1182,5a46c949-6e8f-4c0e-98e4-d56b27fec3c1,08.04.2015 8:54:04,08.04.2015 13:17:04,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
062e4fa9-b068-460f-b7c2-54b21a7a1182,ea00d778-fdeb-4c9c-8179-d56a88853ae4,08.04.2015 8:00:32,08.04.2015 13:17:11,0,0,0,0,0,0,BMA HTML5 2.0,0,0,0
06eb2597-e9a4-475c-8ac0-4cac45ec17d0,2baab49f-581d-408e-b2e0-78c5a1243647,23.04.2015 11:46:10,23.04.2015 11:59:54,0,0,1,1,0,0,BMA HTML5 2.0,0,0,0
