The model is (csv):
time,v1,v2,v3,v4,v5
0,3,2,3,2,4
1,2,3,2,2,4
2,1,2,2,3,4
3,0,1,3,2,4
4,0,0,2,1,4
5,0,0,1,0,4
6,1,0,0,0,4
7,2,1,0,0,4
8,2,2,0,1,4
9,2,2,1,2,4
10,1,2,2,2,4,<---
11,0,1,2,2,4
12,0,0,2,1,4
13,0,0,1,0,4
14,1,0,0,0,4
15,2,1,0,0,4
16,2,2,0,1,4
17,2,2,1,2,4
18,1,2,2,2,4
19,0,1,2,2,4
20,0,0,2,1,4
21,0,0,1,0,4
22,1,0,0,0,4
23,2,1,0,0,4
24,2,2,0,1,4
25,2,2,1,2,4
26,1,2,2,2,4
27,0,1,2,2,4
28,0,0,2,1,4
29,0,0,1,0,4
30,1,0,0,0,4
31,2,1,0,0,4
32,2,2,0,1,4
33,2,2,1,2,4
34,1,2,2,2,4
35,0,1,2,2,4
36,0,0,2,1,4
37,0,0,1,0,4
38,1,0,0,0,4
39,2,1,0,0,4
40,2,2,0,1,4
41,2,2,1,2,4
42,1,2,2,2,4
43,0,1,2,2,4
44,0,0,2,1,4
45,0,0,1,0,4
46,1,0,0,0,4
47,2,1,0,0,4
48,2,2,0,1,4
49,2,2,1,2,4
Time: 00:00:02.2152039
