The model is (csv):
time,v1,v2,v3,v4,v5
0,1,3,2,1,4
1,0,2,1,2,4
2,1,1,2,2,4
3,0,1,2,1,4
4,0,0,1,1,4
5,1,0,1,0,4
6,1,1,0,0,4
7,2,1,0,1,4
8,2,2,1,1,4
9,1,2,1,2,4
10,1,1,2,2,4
11,0,1,2,1,4
12,0,0,1,1,4
13,1,0,1,0,4
14,1,1,0,0,4
15,2,1,0,1,4
16,2,2,1,1,4
17,1,2,1,2,4
18,1,1,2,2,4
19,0,1,2,1,4
20,0,0,1,1,4
21,1,0,1,0,4
22,1,1,0,0,4
23,2,1,0,1,4
24,2,2,1,1,4,<---
25,1,2,1,2,4
26,1,1,2,2,4
27,0,1,2,1,4
28,0,0,1,1,4
29,1,0,1,0,4
30,1,1,0,0,4
31,2,1,0,1,4
32,2,2,1,1,4
33,1,2,1,2,4
34,1,1,2,2,4
35,0,1,2,1,4
36,0,0,1,1,4
37,1,0,1,0,4
38,1,1,0,0,4
39,2,1,0,1,4
Time: 00:00:01.4508025
