The model is (csv):
time,v6,v8,v11,v12,v16,v20,v22,v23,v24,v25,v30,v31,v32,v34,v36,v37,v38,v39,v40,v41,v42,v43,v45,v46,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70
0,4,4,4,4,4,4,4,4,4,3,4,4,1,2,0,1,3,2,3,4,0,1,0,0,4,0,4,4,0,4,1,4,0,1,0,1,4,4,0,2
1,4,4,3,3,3,4,4,3,3,4,3,4,2,3,1,2,4,3,3,3,0,0,0,0,4,0,3,4,1,3,2,4,0,1,1,2,3,4,1,3
2,3,3,2,2,2,3,4,3,2,4,2,3,3,4,2,3,3,3,4,2,0,0,0,0,3,0,2,3,2,2,3,4,1,1,2,3,2,3,2,4
3,2,2,2,1,1,2,3,3,3,3,2,2,3,3,2,3,2,3,4,1,0,0,0,0,2,0,3,2,2,2,2,3,2,2,3,2,1,2,3,3
4,2,2,2,1,1,2,2,2,3,2,2,2,2,2,2,2,1,2,4,1,0,0,0,0,1,0,2,2,1,2,1,2,2,2,2,2,1,2,2,2
5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,4,0,0,0,0,0,1,0,2,3,1,1,1,2,2,2,2,2,1,2,2,2
6,0,1,1,2,2,2,2,1,2,1,1,2,1,2,2,3,2,2,4,0,0,0,0,0,2,0,2,3,1,1,1,2,2,2,2,1,1,1,2,2
7,0,1,1,3,2,2,1,2,2,0,2,1,0,1,1,3,2,2,4,1,0,0,0,0,2,0,1,3,1,1,1,2,1,2,1,1,1,1,2,2
8,1,1,2,4,3,3,1,1,1,0,1,1,0,1,1,3,2,2,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,1,1,1,1,1,2,2
9,1,1,1,4,3,3,1,1,1,1,1,2,0,1,1,3,3,3,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,1,1,1,0,1,3,3
10,1,1,1,4,3,3,1,2,1,1,2,1,1,1,1,3,3,3,4,1,0,0,0,0,3,0,1,3,0,2,0,3,1,2,1,1,0,1,3,3
11,1,1,2,3,3,3,1,2,2,1,2,1,1,1,1,3,3,3,4,1,0,0,0,0,3,0,1,4,0,1,0,3,1,2,1,1,1,2,3,3
12,1,1,2,3,3,3,1,2,2,1,2,2,1,1,1,3,3,3,4,1,0,0,0,0,3,0,1,4,0,1,1,3,1,2,2,1,1,1,3,3
13,1,1,2,3,3,3,1,2,2,1,2,2,1,1,2,3,3,3,4,1,0,0,0,0,3,0,1,4,1,1,1,3,1,2,1,1,1,1,3,3
14,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,3,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,2,1,1,1,1,3,3
15,1,2,2,3,3,2,1,2,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,2,1,2,1,2,3,2
16,1,2,2,3,3,2,2,1,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,2,3,1,2,1,3,1,1,2,2,1,2,3,2
17,1,2,1,3,3,2,2,1,2,1,2,2,1,2,2,3,2,3,4,1,0,0,0,0,3,0,2,3,1,2,1,3,2,1,2,2,0,2,3,2
18,1,2,1,3,2,2,2,2,2,1,2,1,1,2,1,3,2,3,4,1,0,0,0,0,3,0,2,3,0,2,0,2,2,2,2,2,0,2,3,2
19,1,2,2,3,2,3,2,2,2,1,2,1,1,2,1,3,2,2,4,1,0,0,0,0,3,0,2,4,0,1,0,2,2,2,2,2,1,2,2,2
20,1,1,2,3,2,3,2,2,2,1,1,2,1,2,1,3,3,2,4,1,0,0,0,0,3,0,2,4,0,1,1,2,2,2,2,1,1,1,2,3
21,1,1,2,3,2,3,1,2,2,1,1,2,1,1,2,3,3,2,4,1,0,0,0,0,3,0,1,4,1,1,1,2,1,2,1,1,1,1,2,3
22,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,3,2,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,2,1,1,1,1,2,3,<---
23,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,1,1,3,1,2,1,1,1,1,3,2
24,1,1,2,3,3,2,1,1,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,1,1,1,1,1,3,2
25,1,2,1,3,3,2,1,1,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,1,1,2,0,2,3,2
26,1,2,1,3,3,2,2,1,2,1,2,1,1,1,1,3,2,3,4,1,0,0,0,0,3,0,2,3,0,2,0,3,1,1,2,2,0,2,3,2
27,1,2,1,3,3,3,2,1,2,1,2,1,1,2,1,3,2,3,4,1,0,0,0,0,3,0,2,4,0,1,0,3,2,1,2,2,0,2,3,2
28,1,1,1,3,2,3,2,2,2,1,2,1,1,2,1,3,3,3,4,1,0,0,0,0,3,0,2,4,0,1,0,2,2,2,2,1,0,1,3,3
29,1,1,2,3,2,3,1,2,2,1,2,1,1,1,1,3,3,2,4,1,0,0,0,0,3,0,1,4,0,1,0,2,1,2,1,1,1,1,2,3
30,1,1,2,3,3,3,1,2,2,1,1,2,1,1,1,3,3,2,4,1,0,0,0,0,3,0,1,4,0,1,1,3,1,2,1,1,1,1,2,3
31,1,1,2,3,3,3,1,2,2,1,1,2,1,1,2,3,3,3,4,1,0,0,0,0,3,0,1,4,1,1,1,3,1,2,1,1,1,1,3,3
32,1,1,2,3,3,2,1,2,2,1,2,2,1,1,2,3,3,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,2,1,1,1,1,3,3
33,1,2,2,3,3,2,1,2,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,1,3,1,2,1,3,1,2,1,2,1,2,3,2
34,1,2,2,3,3,2,2,1,2,1,2,2,1,1,2,3,2,3,4,1,0,0,0,0,3,0,2,3,1,2,1,3,1,1,2,2,1,2,3,2
35,1,2,1,3,3,2,2,1,2,1,2,2,1,2,2,3,2,3,4,1,0,0,0,0,3,0,2,3,1,2,1,3,2,1,2,2,0,2,3,2
36,1,2,1,3,2,2,2,2,2,1,2,1,1,2,1,3,2,3,4,1,0,0,0,0,3,0,2,3,0,2,0,2,2,2,2,2,0,2,3,2
37,1,2,2,3,2,3,2,2,2,1,2,1,1,2,1,3,2,2,4,1,0,0,0,0,3,0,2,4,0,1,0,2,2,2,2,2,1,2,2,2
38,1,1,2,3,2,3,2,2,2,1,1,2,1,2,1,3,3,2,4,1,0,0,0,0,3,0,2,4,0,1,1,2,2,2,2,1,1,1,2,3
39,1,1,2,3,2,3,1,2,2,1,1,2,1,1,2,3,3,2,4,1,0,0,0,0,3,0,1,4,1,1,1,2,1,2,1,1,1,1,2,3
Time: 00:02:29.4058593
